time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-18,5.0,79752156.9550014685477382592324,11100.0,11102.845693710303,130.10774602,,0.00009843765183917974,1.00025636880273,,0.052206548066934165,79731716.23037188,79731716.23037188,79731716.23037188,2.0,2.0,612812.9851739,612970.091305206429983844747,306406.49258695,306485.0456526032149919223735,306406.49258695,306485.0456526032149919223735,612812.9851739,612970.091305206429983844747,,0.0010261633869628676,0.0023677818450478006
2019-09-19,15.0,81168480.786207661407256332468,1750000.0,1751872.653660675,37.6823266,,0.00009749043730202421,1.0010700878061,,0.048084731594718294,81081716.23037188,81081716.23037188,81081716.23037188,10.0,10.0,2151717.3581244,2154019.88463150262720687884,215171.73581244,215401.988463150262720687884,200.0,200.21401756122,2151717.3581244,2154019.88463150262720687884,,0.001025031628147133,0.0023655450131668094
2019-09-20,22.0,80195784.3404454013352150192226,0.0,0.0,89.19221638,,0.00009833667870232305,1.00009632590739,,0.0812959807097651,80188060.15278934,80188060.15278934,80188060.15278934,16.0,16.0,899047.7354269001,899134.337015802020801147381739,56190.48346418,56195.8960634863699290622902,246.047707065,246.07140783364426503871035,899047.7354269,899134.337015801920791514791,,0.0010119891346289064,0.0016018099283858019
2019-09-21,8.0,80139080.60035427878445777163412,0.0,0.0,201764.85438326,,0.00010007495996391725,0.999389191453918,,-0.2070718283916295,80188060.15278934,80188060.15278934,80188060.15278934,4.0,4.0,397.43324177000005,397.1904861494298602772144326959,99.35831044,99.29762153485897959830392,14.706170355,14.69718770046702824020089,397.43324177,397.19048614942981030775486,,0.000934661301363072,0.0016034152953856436
2019-09-22,9.0,79362243.3982872644239185539026,1462345.0,1462389.54201878991955,21.14461491,,0.00009953509685349346,1.00003045930939,,-0.2239895940166511,79359826.15278934,79359826.15278934,79359826.15278934,8.0,8.0,3753193.25918638,3753307.5788610620204080941082,469149.1573983,469163.447357635252627160037,377500.0,377511.498389294725,3753193.25918638,3753307.5788610620204080941082,,0.0009296554828146366,0.0015998369968894548
2019-09-23,17.0,93036899.46339305691826367016936,16160006.0,16149084.024133761566392,5.00995393,,0.00010310026136741221,0.999324135407732,,-0.13012882276123372,93099822.33685698,93099822.33685698,93099822.33685698,14.0,14.0,18582969.75186133,18570410.18058685966506547380356,1327354.98227581,1326457.87004191926130763056292,150440.5,150338.822592806905946,18582969.75186133,18570410.18058685966506547380356,,0.0008898236804358143,0.0015924872160257772
2019-09-24,12.0,92207640.8922739262423790717846,0.0,0.0,93.17062251,,0.00011621550882307838,1.00104218698027,,0.026181004608544157,92111643.33685698,92111643.33685698,92111643.33685698,7.0,7.0,988633.979821,989664.32128302196010513167,141233.42568871,141380.6173261417041199317517,139.449438,139.59477038868956858826,988633.979821,989664.32128302196010513167,,0.0009458255452000615,0.0015979693974806277
2019-09-25,10.0,90617620.0956961738392149911974,0.0,0.0,62.21024107,,0.0001186574736184016,0.99958926368563,,0.08384966665243798,90654855.33685698,90654855.33685698,90654855.33685698,6.0,6.0,1457233.62864987,1456635.0898800623311570203681,242872.27144164,242772.5149800053905798516332,228552.33517694,228458.4604331487667625853722,1457233.62864987,1456635.0898800623311570203681,,0.000908111831619864,0.0015748618596600154
2019-09-26,7.0,87636269.04378119680791524570232,0.0,0.0,29.19870635,,0.00012355729220033304,0.999787960484284,,-0.00007828186538879298,87654855.33685698,87654855.33685698,87654855.33685698,5.0,5.0,3002011.60579831,3001375.06071124271485002876004,600402.32115966,600275.01214224654339408478344,1000000.0,999787.960484284,3002011.60579831,3001375.06071124271485002876004,,0.0008886540218753416,0.0015629505895559906
2019-09-27,3.0,87771955.958802472402007939571,0.0,0.0,583529.76081266,,0.00012231133274006036,1.00133592852895,,0.23243444849658257,87654855.33685698,87654855.33685698,87654855.33685698,2.0,2.0,150.21488401,150.4155603590218741770895,75.107442,75.2077801745042574459,75.107442005,75.20778017951093708854475,150.21488401,150.4155603590218741770895,,0.0009194110120758995,0.0012264899578914778
2019-09-28,6.0,87745553.6470908798376624295106,66990.0,67008.1051788921003,1306.52581203,,0.00012195474595211741,1.00027026688897,,0.028974106337968767,87721845.33685698,87721845.33685698,87721845.33685698,3.0,3.0,67141.302934,67159.44900506536451323798,22380.43431133,22386.4830016851206035230301,134.302934,134.33923163615172323798,67141.302934,67159.44900506536451323798,,0.000926422530035275,0.001234009420214902
2019-09-29,10.0,87690622.2320928265513159382028,0.0,0.0,181175.47200307,,0.00012395598828977752,0.99964406694086,,-0.061986336087309864,87721845.33685698,87721845.33685698,87721845.33685698,8.0,7.0,484.18168512,484.0093488516356781820032,69.16881216,69.1441926930908111688576,12.98537439,12.9807524659692890885754,484.18168512,484.0093488516356781820032,,0.0009320214637324706,0.0012366563275885572
