time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2025-04-28,157670,7393982,1747158251,1747158251,1.000165341734932678,72567788175.9223202601551363504,0,0,0.000010521838960988454,1.00026936558872,0.05252043106182307,0.0696993814856496,72548246174.88082,213108,281801,238897881.758748
2025-04-29,154734,7401223,1747158497,1747158497,1.000133223327161547,74564703155.2992208208044728408,2000000000,2000441512.20888,0.000010629017709663637,1.00022075610444,0.050738227682133666,0.04289105075892629,74548246174.88082,206875,279330,198866639.583624
2025-04-30,155927,7406667,1747158851,1747158851,1.000102641807386854,74561917244.4475866053816442456,0,0,0.000010613519365997798,1.00018338552908,0.11371406587601626,0.0379720010045948,74548246174.88082,210104,277202,255230120.845443
2025-05-01,141414,7414970,1747159268,1747159268,1.000262725188390305,74576057023.2980797389187743414,0,0,0.000010376050000748483,1.00037305838627,0.20427953915250244,0.036184697010038853,74548246174.88082,195125,256096,314290178.480402
2025-05-02,120966,7421000,1747159518,1747159518,1.000340066819893623,74583186155.1891777581186921672,0,0,0.0000103309358691666,1.00046954629016,0.039707049297195686,0.08674744899710439,74548182332.73667,190449,246193,214092940.178177
2025-05-03,115287,7428829,1747159739,1747159739,1.00010008158282124,74562504877.658992044687375233,0,0,0.000010424791297357407,1.0001921246699,-0.034534994022074314,0.06413447868839003,74548182332.73667,173810,224069,119006426.758825
2025-05-04,98839,7442936,1747159964,1747159964,0.999918948863598898,74547046831.00301705581039591012,0,0,0.000010595551867325141,0.999984768217036,-0.015800285296274218,0.03881429147771473,74548182332.73667,158281,205840,184996787.757295
2025-05-05,125378,7461844,1747160161,1747160161,0.999892320650035003,74543885559.67113888586320051468,0,0,0.00001054194035334394,0.999942362470404,-0.017264248221708044,0.041841752649839345,74548182332.73667,197044,254235,306377615.708652
2025-05-06,158386,7477926,1747160611,1747160611,0.999996320611580285,74551156153.6944185664912103273,0,0,0.00001034409623926051,1.00004575527019,0.01268576519517793,0.0877369764263514,74547745201.47067,208678,272640,212121109.722781
2025-05-07,138116,7491469,1747161034,1747161034,1.000185552404303864,74567976460.4645053899727718749,0,0,0.000010297492384379886,1.00027138659847,0.01803926144378006,0.061012946811106444,74547745201.47067,216680,295193,247167823.474505
2025-05-08,134728,7503823,1747161441,1747161441,0.99987212286350573,74540173779.70897291833800720804,0,0,0.000009701202140809482,0.999898435268012,0.03319127967732067,0.09306075649614148,74547745201.47067,203196,269599,420756070.187242
2025-05-09,138385,7512599,1747161825,1747161825,1.000045197901835281,74555150034.5672667383929002222,0,0,0.000009715285886839412,1.00009933007466,0.01620966823198625,0.057919608777874464,74547745201.47067,196832,264516,569313959.398896
2025-05-10,103365,7512680,1747181734,1747181734,0.99978851822411995,74533765952.07068091499850157285,0,0,0.000009560006719823147,0.999812479245855,-0.003325752731912838,0.03656368871893381,74547745201.47067,159057,210700,304579451.779941
2025-05-11,89783,7516288,1747181967,1747181967,1.000069978708098928,74556922973.820005791678183451,0,0,0.000009618775363720223,1.0001231126753,0.03500889347739822,0.053109030528330076,74547745201.47067,143046,189441,320072171.149698
2025-05-12,121510,7523349,1747182222,1747182222,0.999849232435888832,74540795475.36474894001773841358,0,0,0.000009715433337695926,0.999913124752355,0.04907975790750246,-0.00004549923614809575,74547271788.062596,187686,242772,468345057.94873
2025-05-13,121308,7535610,1747182721,1747182721,1.000112098175194009,74563767042.57392074681995639072,0,0,0.000009604056229301578,1.00022127241032,0.03610689576618853,0.054952667471988056,74547271788.062596,188279,245230,379842485.077312
2025-05-14,124945,7544701,1747274557,1747274557,0.999922823652748954,74547360033.20100673973117162444,0,0,0.00000965506348779573,1.00000118374739,0.051891834380509615,0.008386943000656987,74547271788.062596,187411,244698,365472125.341258
2025-05-15,131006,7560349,1747398335,1747398335,0.999902278598883301,74546363232.11330902663561105122,0,0,0.00000964157000513633,0.999987812351445,0.0004030378642529848,0.013208058122809865,74547271788.062596,204379,270805,333085104.020238
2025-05-16,130756,7574459,1747447700,1747447700,1.000139455717590527,74571532472.85929777632895286312,0,0,0.000009658795745854953,1.00032544027722,0.02727072724367542,0.023833700021280022,74547271788.062596,201404,268486,255817937.481573
2025-05-17,121862,7592835,1747534270,1747534270,1.00021572081853401,74578298379.8310263442128847144,0,0,0.000009694890970077743,1.0004162002314,0.013409987775940612,0.030956603809101327,74547271788.062596,190004,265426,170828331.76257
2025-05-18,98595,7607366,1747621205,1747621205,0.999581045101230405,74526281785.723698351992291096932,0,0,0.000009429910186751576,0.999718433661817,-0.05314982461714007,-0.020936483794389584,74547271788.062596,164051,222863,251377053.071921
2025-05-19,133357,7628172,1747706045,1747706045,1.000024826958589447,74561674676.4691534920708064808,0,0,0.00000947013107172431,1.00019574350245,0.03488216715762597,0.030329696801928242,74547082569.429584,213821,286835,313791875.133162
2025-05-20,140636,7650261,1747789181,1747789181,1.000146562204518523,74573796104.45555938009742078208,0,0,0.0000093584729950573,1.00035834447312,0.040870665520299776,0.047340455133168716,74547082569.429584,215267,288486,294821122.739203
2025-05-21,131420,7656992,1747877084,1747877084,1.000109587499568331,73069024366.4684739389275790643,0,0,0.000009118256007472952,1.00031695880165,0.05400055464136975,0.03548603269286494,73045871834.466342,202983,265798,326273838.206801
2025-05-22,134926,7667596,1747967389,1747967389,1.000057940936217403,73064676686.2645214025915408945,0,0,0.000008972768429827312,1.00025743893975,0.11262636474733495,-0.013136027430879852,73045871834.466342,201732,263253,405663631.535282
2025-05-23,123988,7678303,1748049588,1748049588,0.999927872514034277,73053085640.95572834043494603668,0,0,0.000009321302253957908,1.00010012648654,0.0957367181228341,-0.04303805797446664,73045771824.466342,192998,256445,953321675.847655
2025-05-24,119293,7682261,1748137121,1748137121,1.000158102482163819,73071800634.22886764973704683538,0,0,0.000009269654387010415,1.00035633561139,0.05008052978086471,-0.01014313737757182,73045771824.466342,163793,216329,145920748.644169
