time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2017-12-11,5904,124387,1614335054,1614335054,2.72452788,4378853084.91876,0,0,0.00025951069189886027,4.37885308491876,277.72178200052093,1000000000,6880,6804
2017-12-12,7805,124879,1614335054,1614335054,3.13808933,5585615604.04701,0,0,0.0003203876215832085,5.58561560404701,413.5022056165889,1000000000,10198,9983
2017-12-13,14164,130710,1614335054,1614335054,2.93011973,7217757998.76137,0,0,0.00043703852975114394,7.21775799876137,513.1471700511247,1000000000,17764,17650
2017-12-14,12751,134103,1614335054,1614335054,3.01755575,8520323873.41758,0,0,0.0005131830925095151,8.52032387341758,417.1088654900232,1000000000,16317,16046
2017-12-15,11098,137767,1614335054,1614335054,2.88919827,8020334636.45174,0,0,0.0004530750001309313,8.02033463645174,380.25208324352167,1000000000,13626,13501
2017-12-16,12188,141871,1614335054,1614335054,2.93045813,8546730290.31362,0,0,0.00043515818074070826,8.54673029031362,422.63518128564,1000000000,14565,14432
2017-12-17,9897,143627,1614335054,1614335054,2.79105477,8106851300.87965,0,0,0.0004211249018954292,8.10685130087965,366.1804323924797,1000000000,11782,11671
2017-12-18,8459,145223,1614335054,1614335054,2.9157274,8967008153.54144,0,0,0.0004723947072076663,8.96700815354144,362.3742366462033,1000000000,10463,10350
2017-12-19,12848,149088,1614335054,1614335054,3.16452172,11584052188.5086,0,0,0.0006561965790373204,11.5840521885086,515.3909484596243,1000000000,16436,16330
2017-12-20,9632,151534,1614335054,1614335054,2.91913106,10517637003.1211,0,0,0.000639229079198307,10.5176370031211,427.691838817258,1000000000,12065,11934
2017-12-21,10040,154218,1614335054,1614335054,2.89280054,10654740985.0492,0,0,0.0006815181242964436,10.6547409850492,462.07371250984613,1000000000,12313,12203
2017-12-22,9642,156767,1614335054,1614335054,2.51569901,8219044642.32828,0,0,0.0005745286216942429,8.21904464232828,329.6458834443268,1000000000,13407,13306
2017-12-23,8253,159188,1614335054,1614335054,2.5928549,8863778034.96964,0,0,0.0005944512363142428,8.86377803496964,362.0756401434624,1000000000,10693,10599
2017-12-24,7080,159554,1614335054,1614335054,2.47864551,8280314957.12647,0,0,0.0005903400961160827,8.28031495712647,338.26373426137854,1000000000,8978,8902
2017-12-25,6662,160745,1614335055,1614335055,2.47001275,8379400837.23336,0,0,0.000595088075958397,8.37940083723336,309.99694580564767,1000000000,8003,7926
2017-12-26,5979,162286,1614335055,1614335055,2.49287665,8598851226.69172,0,0,0.0005467521895842948,8.59885122669172,248.94151493984089,1000000000,7326,7299
2017-12-27,6362,164265,1614335055,1614335055,2.49951617,8714353452.08424,0,0,0.0005662715658640636,8.71435345208424,204.70950527870838,1000000000,8044,7975
2017-12-28,7415,164301,1614335055,1614335055,2.36719228,8151026174.31376,0,0,0.0005704225784722225,8.15102617431376,194.85554362723573,1000000000,9494,9421
2017-12-29,5851,165872,1614335055,1614335055,2.40133321,8340704128.54137,0,0,0.0005723887914007877,8.34070412854137,205.92888842412722,1000000000,7329,7252
2017-12-30,6340,166754,1614335055,1614335055,2.19572167,7469129746.68934,0,0,0.0005768239734567695,7.46912974668934,163.8069757573117,1000000000,7986,7909
2017-12-31,5802,167802,1614335055,1614335055,2.26574865,7767758711.25842,0,0,0.0005579692930173964,7.76775871125842,141.8167980524282,1000000000,7057,7023
2018-01-01,7477,170317,1614335055,1614335055,2.26454049,7740217186.38948,0,0,0.0005748545346687253,7.74021718638948,97.77893339393782,1000000000,8729,8684
2018-01-02,6952,171956,1614335055,1614335055,2.3688446,8309663941.72196,0,0,0.0005632020113394207,8.30966394172196,128.63593086663246,1000000000,8540,8470
2018-01-03,10228,174380,1614335055,1614335055,2.5265717,9096137841.27162,0,0,0.0006059936329382279,9.09613784127162,128.36843588979576,1000000000,12234,12179
2018-01-04,8328,177057,1614335055,1614335055,2.57848474,9519747130.13786,0,0,0.0006316892580529632,9.51974713013786,119.61154366908187,1000000000,9740,9685
