time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-12-01,607.0,1614094436.0,527583258.846029268,145000.0,1973164.109689818,31.596760906211,59.84756260380051,0.0007230387293980148,13.6080283426884,,37.73150561427414,38770000.0,38764967.663162816266386632,10001843.836092308966158862,1239.0,1993.0,1227024.50783109,16697384.279738757339943702356,867.810675708735992359,11809.1922711320511901746612959179356,136.5601124749963,1858.31388104046539817292205292,1729546.676687510832770872,23535720.1963661780220097310253336922848,,0.06885197437979211,0.0596121545984211
2020-12-02,922.0,1614094437.0,564991429.139205763,0.0,0.0,52.085488161419,64.62641452632398,0.0007584178705961874,14.5729024797319,,59.30722870717611,38770000.0,38764967.663162816266386632,10059663.106254067488419764,1923.0,3055.0,744353.2040987606,10847386.65380721341864741028314,396.320868911107321789,5775.5453733241771642900082637483691,105.20156339081163,1533.092124009631472894765801997,1210760.254523432868064439,17644291.1155053612368920435509806439041,,0.06757508233225393,0.060145743850299936
2020-12-03,518.0,1614094437.0,569077466.20080071,0.0,0.0,68.817566017271,65.26298361888125,0.0007538808211572193,14.678294201723,,64.4356609683597,38770000.0,38764967.663162816266386632,10070743.656948742919202944,1141.0,1943.0,563373.6013021732,8269363.4653974940439990844236,447.288392085597858178,6565.430612048034844790045077240694,126.47405759045226,1856.42342619831618456324124398,869081.345822316638440582,12756631.679209331703437743383257522786,,0.06717475439020004,0.06015548584832343
2020-12-04,400.0,1614094438.0,513202777.510635783,0.0,0.0,144.653636079556,59.35709054006464,0.0007066211414377547,13.2371105883579,,51.005183238750675,38770000.0,38764967.663162816266386632,10074021.084930375749574171,727.0,1197.0,268019.5330774631,3547804.19918642721607772684349,361.79470519162369663,4789.116522903866928560755039463877,104.55008745542987,1383.941069670015186568761910473,433068.262114373564866031,5732572.4779159287134861780505017804949,,0.07041632998442295,0.06151362865550386
2020-12-05,395.0,1614094438.0,534571961.530396116,0.0,0.0,310.897721620834,62.54045709362428,0.0007213472959796692,13.7882889226308,,52.3266068033065,38770000.0,38764967.663162816266386632,10075605.71518177538672785,598.0,973.0,124703.39054875204,1719446.378517860152815053666832,249.632409495091474995,3442.003786570805521959702207816846,72.93710298803849,1005.677849178752934741462459492,242892.334438724005169689,3349069.6843333937728606406713462978212,,0.07051250070697711,0.059103737636258265
2020-12-06,383.0,1614094439.0,532910702.067461559,0.0,0.0,155.752243112626,62.523628207085125,0.0007101269413102991,13.7454398263467,,37.5826189487066,38770000.0,38764967.663162816266386632,10077986.102046921515360537,615.0,989.0,248920.97362581882,3421528.264489326531844396704894,396.938104715484395396,5456.0888331507960482625678809797932,92.90390101931283,1277.004981093834351118163338161,392571.785563614067046888,5396071.8559861372917350335216066440696,,0.06872463596390721,0.058986339589144114
2020-12-07,313.0,1614094440.0,522004997.808722581,0.0,0.0,112.726669518265,61.489797242414845,0.0007019092565751027,13.4641474802353,,35.08206856839529,38770000.0,38764967.663162816266386632,10080590.746097659484393757,637.0,1044.0,343929.2597366943,4630714.27586300457769140816879,510.565334315396796957,6874.3269595181433321130760846839821,151.56402076259883,2040.680328245075729280887904699,533030.2090252742560235,7176797.34573694163873132937822232955,,0.06892529570331113,0.05871703161215468
2020-12-08,646.0,1614094441.0,482572294.6084002695,145000.0,1798097.9755420285,70.057022064519,56.966739543045854,0.0006761185581430627,12.4006756933933,,20.981503008807998,38915000.0,38909967.663162816266386632,10107606.630171451766928118,905.0,1745.0,555476.0801017395,6888278.72477903072697198764535,460.099382125402236633,5705.5432244677512806525979613367589,132.58484928335338,1644.141717820294350118535224354,802873.421808826902925093,9956172.9266962259847450829857848880769,,0.07084783130909565,0.059542097615968535
2020-12-09,873.0,1614094441.0,485306860.840180487,0.0,0.0,83.910151430147,57.309967664081206,0.000671394322453521,12.4709459293378,,20.921556857522344,38915000.0,38909967.663162816266386632,10170945.059072499369641463,1141.0,1841.0,463769.8697564096,5783648.96938821798478023356288,381.104562179733826754,4752.7343883674160541657016711435012,79.66945117213126,993.553417787666955756586479628,701613.498972889975053608,8749784.0089844129557127464779349407824,,0.07084793797809595,0.05955045058346083
2020-12-10,502.0,1614094442.0,467469854.534746448,0.0,0.0,129.235907876286,55.50899671947524,0.0006566104564582113,12.0125878076512,,-1.56898166782328,38915000.0,38909967.663162816266386632,10175693.009621964378100322,759.0,1163.0,301116.00281596876,3617182.424115770732302668176512,387.174924974310953714,4650.9727831746758619546090582565568,99.63,1196.814123276289056,450284.437745123639168955,5409081.346832148027448080959758508496,,0.06427906923063306,0.059713606431058566
