time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-01-27,0.0,1612531702.0,0.0,0.0,0.0,,,1.0,8901.95928486265,,21.833773858255455,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028356146072989988,
2020-01-28,0.0,1612531715.0,0.0,0.0,0.0,,,1.0,9297.3883176505,,25.783529062758994,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.029136694067385987,
2020-01-29,0.0,1612531728.0,0.0,0.0,0.0,,,1.0,9311.94754354179,,28.80669596519593,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02861618339449346,
2020-01-30,0.0,1612531743.0,0.0,0.0,0.0,,,1.0,9508.92096493279,,32.6691342172975,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028517353567532287,
2020-01-31,0.0,1612531757.0,0.0,0.0,0.0,,,1.0,9357.28478240795,,30.494563849178604,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028854277407385207,
2020-02-01,0.0,1612531771.0,0.0,0.0,0.0,,,1.0,9381.88602863822,,35.05285745870685,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.027852697169584203,
2020-02-02,0.0,1612531784.0,0.0,0.0,0.0,,,1.0,9339.38706312098,,27.669065012966932,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.026824916851803316,
2020-02-03,0.0,1612531799.0,0.0,0.0,0.0,,,1.0,9279.81252051432,,26.373485255917615,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.026946210109211416,
2020-02-04,2.0,1612531816.0,91.6162719772063,0.01,91.6162719772063,,,1.0,9161.62719772063,,24.72382979661321,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02717778137295619,
2020-02-05,0.0,1612531833.0,96.2813677586207,0.0,0.0,,,1.0,9628.13677586207,,23.981297283761446,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.026831720898465628,
2020-02-06,0.0,1612531850.0,97.392804364699,0.0,0.0,,,1.0,9739.2804364699,,19.70472569573928,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02579915237255849,
2020-02-07,0.0,1612531868.0,98.0027939982466,0.0,0.0,,,1.0,9800.27939982466,,21.596088845712238,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.025634115408983638,0.027657683331073803
2020-02-08,0.0,1612531883.0,99.1129340841613,0.0,0.0,,,1.0,9911.29340841613,,26.789316320231585,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.024667257217087825,0.0275483023568027
2020-02-09,0.0,1612531898.0,101.510832026885,0.0,0.0,,,1.0,10151.0832026885,,24.862368415454817,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.024150033002666625,0.027622575201018483
2020-02-10,4.0,1612531912.0,148.08542809585035,0.01,98.7236187305669,3.0,,1.0,9872.36187305669,,22.912787835650924,0.015,1.0,1.0,0.005,49.36180936528345,0.005,49.36180936528345,0.005,49.36180936528345,0.005,49.36180936528345,,0.024751746419421367,0.02794851921939639
2020-02-11,6.0,1612531929.0,1489.472270601701,0.13,1335.388932263594,1.0,,1.0,10272.2225558738,,25.814926290820225,0.145,5.0,5.0,0.14500000000000002,1489.472270601701205444451117476,0.03,308.166676676214,0.005,51.361112779369,0.15,1540.83338338107,,0.025418048008510427,0.028299227586530806
2020-02-12,10.0,1612531947.0,1502.219607322037,0.0,0.0,0.500725153621,,1.0,10360.1352229106,,27.557621762190433,0.145,22.0,22.0,0.28958002000000005,3000.08816505315652421876114553,0.014750910454545455,152.821426970136577405425101323,0.01,103.601352229106,0.32452003,3362.071393343004599318,,0.025301324804374945,0.028023377868669354
