time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-08-03,51.0,,1972.0,,10.848575092581,,,,,,100024.572493926399788031,66.0,107.0,9220.065459318623,,117.878977382265356027,,80.83752389036465,,12613.050579902393094845,,,,
2020-08-04,77.0,,5534.0,,5.126323946394,,,,,,105558.572493926399788031,132.0,231.0,20591.47521650089,,159.291613083802131883,,98.29612084414805,,36796.362622358292464954,,,,
2020-08-05,68.0,,1713.0,,11.831749285819,,,,,,106237.572493926399788031,82.0,156.0,8979.024988406149,,95.888264852465839014,,65.93081968171718,,14958.569316984670886132,,,,
2020-08-06,112.0,,10156.0,,3.397454215012,,,,,,111126.572493926399788031,205.0,433.0,32708.777061043176,,156.734228928679188973,,107.42,,67865.921126118088825387,,,,
2020-08-07,147.0,,21776.0,,1.60970829067,,,,,,132690.572493926399788031,408.0,611.0,82431.4400708715,,185.359525280474700605,,89.985039471866,,113254.66994637004206969,,,,
2020-08-08,279.0,,38366.786101421136446292,,1.380013440372,,,,,,168545.358595347536234323,772.0,1133.0,122133.12831931471,,151.566942205617334477,,78.40442992349547,,171725.345518964439962251,,,,
2020-08-09,413.0,,38825.0,,1.267015669281,,,,,,190305.358595347536234323,1075.0,1866.0,150199.68829847864,,138.11046762804939466,,72.63125047787464,,257714.132593940170436207,,,,
2020-08-10,541.0,,41794.0,,1.636264696437,,,,,,230518.358595347536234323,1204.0,1840.0,140880.84837211279,,128.980182962598458637,,66.7899,,237323.536651181163892858,,,,
2020-08-11,335.0,,16214.0,,2.113937070394,,,,,,228509.955056025017747115,641.0,939.0,108096.8578754676,,160.40608164476605016,,70.36,,150621.310664435321100617,,,,
2020-08-12,231.0,,9280.0,,4.888230191985,,,,,,235326.955056025017747115,418.0,580.0,48141.54526557982,,137.81439574847421552,,77.70958411884328,,79932.349534115045001505,,,,
