time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-07-17,91.0,224907462.692286,0.0,0.0,334.27557194,322.7476011429216,0.0002048171111595004,1.49938308461524,,6.794650635395914,150000000.0,84.0,87.0,448731.56338662,672820.5156748493869940640888,5635.16889917,8449.2769263653809538053508,397.8,596.454591059942472,490259.69422798,735087.0925940730257671424152,0.08612596505085515,0.07094183248414608,0.07123586004107318
2018-07-18,146.0,217605508.485048,0.0,0.0,364.0966161,313.2407981324769,0.0001966778537708708,1.45070338990032,,0.1440327453013869,150000000.0,128.0,131.0,411978.56109236,597658.6951429427321307135552,3364.87475934,4881.4352199645614465889888,150.0,217.605508485048,440798.59347365,639468.013815517126876046568,0.08596457010578143,0.07100355163272176,0.0713083358492267
2018-07-19,94.0,216936189.0207945,0.0,0.0,1179.63300383,319.3889988988603,0.00019368348964356403,1.44624126013863,,0.4112425496903641,150000000.0,76.0,78.0,127158.19200789,183901.4238464407036994537907,2099.76900443,3036.7725709668797588841309,405.397,586.30186813642018611,163781.98234531,236868.2605350839857031303253,0.08592397970870187,0.07099772102622998,0.0712104183592854
2018-07-20,103.0,191510338.223073,0.0,0.0,451.25620222,283.4715660008865,0.00017424469257743992,1.27673558815382,,-22.014313690487082,150000000.0,94.0,96.0,332405.40354586,424393.8084016314512391041852,3755.50403044,4794.7856471178549286822808,618.70399005,789.921402629601947149491,360528.38692194,460299.4221229310524770528108,0.08553203628000124,0.07028352910346806,0.07262614400252822
2018-07-21,89.0,195879548.560371,0.0,0.0,1505.5478445,296.6302699780989,0.00017621646227310598,1.30586365706914,,-24.041248124657304,150000000.0,83.0,91.0,99631.50659637997,130105.1635632568929518240011258,1452.97443897,1897.3865145013461660003858,144.952,189.28754881948598128,132220.67394624,172662.1728195833251963230336,0.08524766561141253,0.06970681287435679,0.07052421146372462
2018-07-22,81.0,184400804.5765395,0.0,0.0,517.92887489,282.1117475071302,0.00016613844144014857,1.22933869717693,,-15.739568224961117,150000000.0,64.0,65.0,289615.05579602,356034.9953751031164079298186,4982.80248378,6125.5519137000760781151954,767.03,942.9396608956206179,323882.16144599,398160.8743908614532996690107,0.08489339234797628,0.06410378568364687,0.07085411163025294
2018-07-23,121.0,181699069.6139925,0.0,0.0,518.42087642,281.3467509679041,0.0001569857735242551,1.21132713075995,,-21.042489438657714,150000000.0,101.0,104.0,289340.19987011,350485.6341221708039755900945,4109.74093245,4978.2406918713799901153775,672.0,814.0118318706864,427413.05697522,517737.031955132276366918439,0.08489415593033492,0.06324012765872433,0.070424392594797
2018-07-24,155.0,185821988.4344595,0.0,0.0,443.59270613,289.5751187840619,0.00014751962691314264,1.23881325622973,,-13.414982123634228,150000000.0,138.0,147.0,338148.0306756301,418902.262968947951119718102873,2529.51756107,3133.5998865194116132246111,1025.629,1270.56280117364175017,371839.08147685,460639.1833178084293112767505,0.08488404923845463,0.06236249720098008,0.07036978994306035
2018-07-25,109.0,195593232.2441415,0.0,0.0,1054.95163037,309.96805982897723,0.00015896615010327372,1.30395488162761,,-14.487411515364922,150000000.0,98.0,104.0,142186.61375783,185404.9291116219211287816863,1680.18668673,2190.8876322073033955886153,901.9,1176.036907739941459,174739.41542041,227852.3137501984910332135201,0.084971264990603,0.06193036443149507,0.07076558518851316
2018-07-26,81.0,182226247.497903,0.0,0.0,198.86289501,289.7638302164563,0.0001535067318673653,1.21484164998602,,-15.660160480918211,150000000.0,58.0,60.0,754288.5262317901,916341.117772951213940944574402,13467.11677886,16360.4143681846972264315372,370.613,450.23610842626883026,808027.0067318,981624.862091324801915889436,0.08481117112368436,0.06237806278501536,0.07097591024381478
