time,AdrActCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMrktCurUSD,CapMrktEstUSD,CapRealUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2018-04-03,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781663,1752781663,,,,,0,,32.450205636953420218,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9474114.75,89,0.001030092592592593,89,291958.54275916,,3648.934267058202247191,,919.92643,3.401848932615,,,,
2018-04-04,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781671,1752781671,,,,,0,,84.110715978846591751,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9574114.75,23,0.000266203703703704,23,113827.52647603,,9624.217217470434782609,,377.16358,3.389437560873,,,,
2018-04-05,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781679,1752781679,,,,,0,,228.218527980925199335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9574114.75,24,0.000277777777777778,24,41951.52266866,,1810.36415683,,246.04623,3.393975707835,,,,
2018-04-06,13,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781687,1752781687,,,,,0,,180.537097350195039192,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9574114.75,30,0.000347222222222222,30,53031.28769944,,2187.727649942666666667,,1586.6088,3.400830840786,,,,
2018-04-07,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781694,1752781694,,,,,0,,208.629826989783176645,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9574114.75,54,0.000625,54,45890.4409218,,1412.935169472407407407,,778.58709,3.408800089238,,,,
2018-04-08,23,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781702,1752781702,,,,,0,,125.642095602923670589,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9574114.75,61,0.000706018518518519,61,76201.48887247,,1798.940004035245901639,,1015.3627,3.420261758866,,,,
2018-04-09,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781710,1752781710,,,,,0,,90.419944650647086328,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9563114.75,34,0.000393518518518519,34,105763.33337682,,5832.294690574117647059,,742.30259,3.444931639443,,,,
2018-04-10,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781718,1752781718,,,,,0,,72.608545915314001922,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9563114.75,59,0.00068287037037037,59,131707.8400269,,4103.144130956440677966,,699,3.470246143143,,,,
2018-04-11,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781727,1752781727,,,,,0,,213.10907710290366104,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9563114.75,28,0.000324074074074074,28,44874.27227411,,1980.725339031428571429,,865.21333,3.476045541242,,,,
2018-04-12,19,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781735,1752781735,,,,,0,,220.265844874463761959,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9563114.75,27,0.0003125,27,43416.23984168,,2012.465110028148148148,,496.606,3.481727430395,,,,
