time,ReferenceRate,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2020-08-06,1.46447194014569,1.46447194014569,,
2020-08-07,1.44648281862277,1.44648281862277,,
2020-08-08,1.39940607635585,1.39940607635585,,
2020-08-09,1.43318732470305,1.43318732470305,,
2020-08-10,1.43694760894037,1.43694760894037,,
2020-08-11,1.48494022200799,1.48494022200799,,
2020-08-12,1.4160170962629,1.4160170962629,,
2020-08-13,1.43513565166275,1.43513565166275,,
2020-08-14,1.45681466833736,1.45681466833736,,
2020-08-15,1.46951231915669,1.46951231915669,,
2020-08-16,1.51461115474629,1.51461115474629,,
2020-08-17,1.60169874784681,1.60169874784681,,
2020-08-18,1.64806315732415,1.64806315732415,,
2020-08-19,1.56271465529786,1.56271465529786,,
2020-08-20,1.50555679483883,1.50555679483883,,
2020-08-21,1.68430407087967,1.68430407087967,,
2020-08-22,1.7667656677254,1.7667656677254,,
2020-08-23,1.84196506154289,1.84196506154289,,
2020-08-24,1.81181667818552,1.81181667818552,,
2020-08-25,1.7461705003148,1.7461705003148,,
2020-08-26,1.63109316165681,1.63109316165681,,
2020-08-27,1.64030670269157,1.64030670269157,,
2020-08-28,1.48753533654594,1.48753533654594,,
2020-08-29,1.53520317992574,1.53520317992574,,
2020-08-30,1.5540514780058,1.5540514780058,,
2020-08-31,1.5978235163882,1.5978235163882,,
2020-09-01,1.6176911152708,1.6176911152708,,
2020-09-02,1.66509260961216,1.66509260961216,,
2020-09-03,1.51315493156077,1.51315493156077,,
2020-09-04,1.23417167600357,1.23417167600357,,
2020-09-05,1.35293819661133,1.35293819661133,,
2020-09-06,1.23980024032634,1.23980024032634,,
2020-09-07,1.26729920404507,1.26729920404507,,
2020-09-08,1.24408461231128,1.24408461231128,,
2020-09-09,1.20208060522545,1.20208060522545,,
2020-09-10,1.22041058838715,1.22041058838715,,
2020-09-11,1.24281930111665,1.24281930111665,,
2020-09-12,1.26464182830543,1.26464182830543,,
2020-09-13,1.32589470656515,1.32589470656515,,
2020-09-14,1.23573678915069,1.23573678915069,,
2020-09-15,1.27321950870682,1.27321950870682,,
2020-09-16,1.24686139580854,1.24686139580854,,
2020-09-17,1.22453945626777,1.22453945626777,,
2020-09-18,1.22376324524046,1.22376324524046,,
2020-09-19,1.21636747432758,1.21636747432758,,
2020-09-20,1.30521246764079,1.30521246764079,,
2020-09-21,1.35638117365193,1.35638117365193,,
2020-09-22,1.19196846872823,1.19196846872823,,
2020-09-23,1.23663323595782,1.23663323595782,,
2020-09-24,1.16994174921739,1.16994174921739,,
2020-09-25,1.22199847956828,1.22199847956828,,
2020-09-26,1.22242880926815,1.22242880926815,,
2020-09-27,1.2242974930533,1.2242974930533,,
2020-09-28,1.23453725988304,1.23453725988304,,
2020-09-29,1.22440423652205,1.22440423652205,,
2020-09-30,1.23865927849053,1.23865927849053,,
2020-10-01,1.23293021859402,1.23293021859402,,
2020-10-02,1.17556263247705,1.17556263247705,,
2020-10-03,1.13877165948553,1.13877165948553,,
2020-10-04,1.13573380255002,1.13573380255002,,
2020-10-05,1.11087145993924,1.11087145993924,,
2020-10-06,1.11413501550338,1.11413501550338,,
2020-10-07,1.09636208992917,1.09636208992917,,
2020-10-08,1.08800160322734,1.08800160322734,,
2020-10-09,1.1063835090899,1.1063835090899,,
2020-10-10,1.12938114171979,1.12938114171979,,
2020-10-11,1.12638782310323,1.12638782310323,,
2020-10-12,1.13136330173373,1.13136330173373,,
2020-10-13,1.11891079008146,1.11891079008146,,
2020-10-14,1.10952369665177,1.10952369665177,,
2020-10-15,1.10806713149352,1.10806713149352,,
2020-10-16,1.1103062697743,1.1103062697743,,
2020-10-17,1.06932717829237,1.06932717829237,,
2020-10-18,1.06263130646675,1.06263130646675,,
2020-10-19,1.06899803238011,1.06899803238011,,
2020-10-20,1.06738069962924,1.06738069962924,,
2020-10-21,1.05123469193773,1.05123469193773,,
2020-10-22,1.08195674378471,1.08195674378471,,
2020-10-23,1.13178331699733,1.13178331699733,,
2020-10-24,1.09250160133719,1.09250160133719,,
2020-10-25,1.09761108024252,1.09761108024252,,
2020-10-26,1.084793433542,1.084793433542,,
2020-10-27,1.05896749298231,1.05896749298231,,
2020-10-28,1.05602875258065,1.05602875258065,,
2020-10-29,0.936047783835939,0.936047783835939,,
2020-10-30,0.931413159084778,0.931413159084778,,
2020-10-31,0.89742332677965,0.89742332677965,,
2020-11-01,0.924305699998791,0.924305699998791,,
2020-11-02,0.92564506619329,0.92564506619329,,
2020-11-03,0.890174245127991,0.890174245127991,,
2020-11-04,0.880070407994556,0.880070407994556,,
2020-11-05,0.888251095699679,0.888251095699679,,
2020-11-06,0.910810128115734,0.910810128115734,,
2020-11-07,0.9284782989186,0.9284782989186,,
2020-11-08,0.87777148851867,0.87777148851867,,
2020-11-09,0.888110648112821,0.888110648112821,,
2020-11-10,0.843890732361623,0.843890732361623,,
2020-11-11,0.871706309560503,0.871706309560503,,
2020-11-12,0.861701987562179,0.861701987562179,,
2020-11-13,0.833873203673439,0.833873203673439,,
2020-11-14,0.83559866170886,0.83559866170886,,
2020-11-15,0.804888190667398,0.804888190667398,,
2020-11-16,0.80094889809793,0.80094889809793,,
2020-11-17,0.811851466750297,0.811851466750297,,
2020-11-18,0.833842413626797,0.833842413626797,,
2020-11-19,0.805554007825556,0.805554007825556,,
2020-11-20,0.824608927330726,0.824608927330726,,
2020-11-21,0.932340896443188,0.932340896443188,,
2020-11-22,1.04759728404684,1.04759728404684,,
2020-11-23,0.968040760899834,0.968040760899834,,
2020-11-24,1.02693064815649,1.02693064815649,,
2020-11-25,1.10013447137595,1.10013447137595,,
2020-11-26,1.03556604229617,1.03556604229617,,
2020-11-27,0.902903531808662,0.902903531808662,,
2020-11-28,0.908280274887019,0.908280274887019,,
2020-11-29,0.931638509416056,0.931638509416056,,
2020-11-30,0.939423175274919,0.939423175274919,,
2020-12-01,0.975540271387123,0.975540271387123,,
2020-12-02,0.928180284389607,0.928180284389607,,
2020-12-03,0.921651091292476,0.921651091292476,,
2020-12-04,0.934043010629789,0.934043010629789,,
2020-12-05,0.910215164931082,0.910215164931082,,
2020-12-06,0.931092057144547,0.931092057144547,,
2020-12-07,0.929419118212809,0.929419118212809,,
2020-12-08,0.914652052112055,0.914652052112055,,
2020-12-09,0.851063364528601,0.851063364528601,,
2020-12-10,0.872861920802297,0.872861920802297,,
2020-12-11,0.844445096630248,0.844445096630248,,
2020-12-12,0.842324095482445,0.842324095482445,,
2020-12-13,0.857882482741158,0.857882482741158,,
2020-12-14,0.87282940327215,0.87282940327215,,
2020-12-15,0.845534491977636,0.845534491977636,,
2020-12-16,0.853476588889651,0.853476588889651,,
2020-12-17,0.892000149016874,0.892000149016874,,
2020-12-18,0.883746205198612,0.883746205198612,,
2020-12-19,0.879247107479139,0.879247107479139,,
2020-12-20,0.905254688901015,0.905254688901015,,
2020-12-21,0.891728349273694,0.891728349273694,,
2020-12-22,0.850348709767846,0.850348709767846,,
2020-12-23,0.852380593053983,0.852380593053983,,
2020-12-24,0.662976361005994,0.662976361005994,,
2020-12-25,0.672901432731648,0.672901432731648,,
2020-12-26,0.648587619890504,0.648587619890504,,
2020-12-27,0.639181895609539,0.639181895609539,,
2020-12-28,0.646764294298689,0.646764294298689,,
2020-12-29,0.637322221005586,0.637322221005586,,
2020-12-30,0.594399919223921,0.594399919223921,,
2020-12-31,0.601074978393809,0.601074978393809,,
2021-01-01,0.619137176341281,0.619137176341281,,
2021-01-02,0.604519833514065,0.604519833514065,,
2021-01-03,0.589221433416997,0.589221433416997,,
2021-01-04,0.63529830561694,0.63529830561694,,
2021-01-05,0.629378006324292,0.629378006324292,,
2021-01-06,0.669401242313478,0.669401242313478,,
2021-01-07,0.714162436613752,0.714162436613752,,
2021-01-08,0.762266705600865,0.762266705600865,,
2021-01-09,0.724203056185666,0.724203056185666,,
2021-01-10,0.793833628660662,0.793833628660662,,
2021-01-11,0.790922135311193,0.790922135311193,,
2021-01-12,0.694096872097567,0.694096872097567,,
2021-01-13,0.671573174900559,0.671573174900559,,
2021-01-14,0.702136502418281,0.702136502418281,,
2021-01-15,0.701870278966473,0.701870278966473,,
2021-01-16,0.702020409094385,0.702020409094385,,
2021-01-17,0.712519013823399,0.712519013823399,,
2021-01-18,0.727390866676788,0.727390866676788,,
2021-01-19,0.734571006720155,0.734571006720155,,
2021-01-20,0.731016326945715,0.731016326945715,,
2021-01-21,0.704041081090937,0.704041081090937,,
2021-01-22,0.646366417028906,0.646366417028906,,
2021-01-23,0.664642302433214,0.664642302433214,,
2021-01-24,0.728041707418127,0.728041707418127,,
2021-01-25,0.733450814169289,0.733450814169289,,
2021-01-26,0.695089487289556,0.695089487289556,,
2021-01-27,0.688351123315812,0.688351123315812,,
2021-01-28,0.664049039500196,0.664049039500196,,
2021-01-29,0.699121522654922,0.699121522654922,,
2021-01-30,0.728985350917866,0.728985350917866,,
2021-01-31,0.754080914076497,0.754080914076497,,
2021-02-01,0.747375974130088,0.747375974130088,,
2021-02-02,0.753961378644236,0.753961378644236,,
2021-02-03,0.759560700952753,0.759560700952753,,
2021-02-04,0.76125636104996,0.76125636104996,,
2021-02-05,0.753761499921979,0.753761499921979,,
2021-02-06,0.803009331127687,0.803009331127687,,
2021-02-07,0.815125805101398,0.815125805101398,,
2021-02-08,0.814449605485508,0.814449605485508,,
2021-02-09,0.84719938296976,0.84719938296976,,
2021-02-10,0.975026312924815,0.975026312924815,,
2021-02-11,1.0616721291617,1.0616721291617,,
2021-02-12,1.26781124029771,1.26781124029771,,
2021-02-13,1.28200466420061,1.28200466420061,,
2021-02-14,1.4573400805684,1.4573400805684,,
2021-02-15,1.47709429422374,1.47709429422374,,
2021-02-16,1.24373369488855,1.24373369488855,,
2021-02-17,1.22088491636751,1.22088491636751,,
2021-02-18,1.22039871405068,1.22039871405068,,
2021-02-19,1.26754653386127,1.26754653386127,,
2021-02-20,1.30441543740663,1.30441543740663,,
2021-02-21,1.19965257471686,1.19965257471686,,
2021-02-22,1.26150697997397,1.26150697997397,,
2021-02-23,1.15240185838888,1.15240185838888,,
2021-02-24,0.952327712684919,0.952327712684919,,
2021-02-25,0.993366011478944,0.993366011478944,,
2021-02-26,0.934657839183773,0.934657839183773,,
2021-02-27,0.885234488671964,0.885234488671964,,
2021-02-28,0.904121092504317,0.904121092504317,,
2021-03-01,0.846194988039474,0.846194988039474,,
2021-03-02,0.909064723999893,0.909064723999893,,
2021-03-03,0.903622705160217,0.903622705160217,,
2021-03-04,0.936813377241935,0.936813377241935,,
2021-03-05,0.910800613989118,0.910800613989118,,
2021-03-06,0.910870063176925,0.910870063176925,,
2021-03-07,0.924316217297676,0.924316217297676,,
2021-03-08,0.979000368597429,0.979000368597429,,
2021-03-09,0.955766791808626,0.955766791808626,,
2021-03-10,0.974654781549404,0.974654781549404,,
2021-03-11,0.956293850729729,0.956293850729729,,
2021-03-12,0.938468130744187,0.938468130744187,,
2021-03-13,0.992136953651126,0.992136953651126,,
2021-03-14,1.15124061908837,1.15124061908837,,
2021-03-15,1.09811047701437,1.09811047701437,,
2021-03-16,1.03351551038594,1.03351551038594,,
2021-03-17,1.07111676047995,1.07111676047995,,
2021-03-18,1.07868012494785,1.07868012494785,,
2021-03-19,1.15377331508481,1.15377331508481,,
2021-03-20,1.15812360884681,1.15812360884681,,
2021-03-21,1.16335484012008,1.16335484012008,,
2021-03-22,1.12688012253274,1.12688012253274,,
2021-03-23,1.1000680930045,1.1000680930045,,
2021-03-24,1.0862950655112,1.0862950655112,,
2021-03-25,1.07041694864829,1.07041694864829,,
2021-03-26,1.0295869322204,1.0295869322204,,
2021-03-27,1.08146359453952,1.08146359453952,,
2021-03-28,1.09671771354871,1.09671771354871,,
2021-03-29,1.09280503748474,1.09280503748474,,
2021-03-30,1.12913222723392,1.12913222723392,,
2021-03-31,1.18022690073277,1.18022690073277,,
2021-04-01,1.27786830903879,1.27786830903879,,
2021-04-02,1.40037057423487,1.40037057423487,,
2021-04-03,1.44984705347093,1.44984705347093,,
2021-04-04,1.29998921304268,1.29998921304268,,
2021-04-05,1.38859909426717,1.38859909426717,,
2021-04-06,1.51749813540837,1.51749813540837,,
2021-04-07,1.70416591568369,1.70416591568369,,
2021-04-08,1.68845971718607,1.68845971718607,,
2021-04-09,1.85707047124275,1.85707047124275,,
2021-04-10,1.75528624209167,1.75528624209167,,
2021-04-11,1.80299315453823,1.80299315453823,,
2021-04-12,1.93217435334604,1.93217435334604,,
2021-04-13,1.79066199607104,1.79066199607104,,
2021-04-14,1.88589984810238,1.88589984810238,,
2021-04-15,1.94920800283615,1.94920800283615,,
2021-04-16,2.05300247790317,2.05300247790317,,
2021-04-17,2.70799790243098,2.70799790243098,,
2021-04-18,2.97491982905541,2.97491982905541,,
2021-04-19,2.40901971254728,2.40901971254728,,
2021-04-20,2.21308603347279,2.21308603347279,,
2021-04-21,2.10448033094477,2.10448033094477,,
2021-04-22,1.92847373827306,1.92847373827306,,
2021-04-23,1.6541402005199,1.6541402005199,,
2021-04-24,1.5391967619642,1.5391967619642,,
