time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktEstUSD,IssTotNtv,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-10-12,15,1053,1614334992,1614334992,,0,,,,,,181043076.000076,12,12,
2017-10-13,11,1060,1614334992,1614334992,,0,,,,,,181043076.000076,12,12,
2017-10-14,2,1061,1614334992,1614334992,,0,,,,,,181043076.000076,1,1,
2017-10-15,9,1065,1614334993,1614334993,,0,,,,,,181043076.000076,18,18,
2017-10-16,12,1074,1614334993,1614334993,,0,,,,,,181043076.000076,12,12,
2017-10-17,8,1079,1614334993,1614334993,,0,,,,,,181043076.000076,5,5,
2017-10-18,8,1083,1614334993,1614334993,,0,,,,,,181043076.000076,7,7,
2017-10-19,38,1106,1614334993,1614334993,,0,,,,,,181043076.000076,33,33,
2017-10-20,24,1116,1614334993,1614334993,,0,,,,,,181043076.000076,20,20,
2017-10-21,13,1120,1614334993,1614334993,,0,,,,,,181043076.000076,10,10,
2017-10-22,9,1124,1614334993,1614334993,,0,,,,,,181043076.000076,8,8,
2017-10-23,9,1130,1614334993,1614334993,,0,,,,,,181043076.000076,16,16,
2017-10-24,23,1141,1614334994,1614334994,,0,,,,,,181043076.000076,21,21,
2017-10-25,41,1165,1614334994,1614334994,,0,,,,,,181043076.000076,62,62,
2017-10-26,23,1174,1614334994,1614334994,,0,,,,,,181043076.000076,18,18,
2017-10-27,30,1184,1614334994,1614334994,,0,,,,,,181043076.000076,24,24,
2017-10-28,1501,2627,1614334994,1614334994,,0,,,,,,181043076.000076,1502,1502,
2017-10-29,9279,9696,1614334994,1614334994,,0,,,,,,181043076.000076,9285,9285,
2017-10-30,22476,32109,1614334994,1614334994,,0,,,,,,181043076.000076,22495,22495,
2017-10-31,18,32116,1614334994,1614334994,,0,,,,,,181043076.000076,21,21,
2017-11-01,24,32121,1614334994,1614334994,,0,,,,,,181043076.000076,18,18,
2017-11-02,71,32125,1614334995,1614334995,,0,,,,,,181043076.000076,68,68,
2017-11-03,13,32128,1614334995,1614334995,,0,,,,,,181043076.000076,10,10,
2017-11-04,11,32130,1614334995,1614334995,,0,,,,,,181043076.000076,10,10,
2017-11-05,12,32133,1614334995,1614334995,,0,,,,,,181043076.000076,9,9,
2017-11-06,26,32136,1614334995,1614334995,,0,,,,,,181043076.000076,24,24,
2017-11-07,25,32142,1614334995,1614334995,,0,,,,,,181043076.000076,18,18,
2017-11-08,12,32146,1614334995,1614334995,,0,,,,,,181043076.000076,9,9,
2017-11-09,9,32149,1614334995,1614334995,,0,,,,,,181043076.000076,7,7,
2017-11-10,19,32152,1614334995,1614334995,,0,,,,,,181043076.000076,20,20,
2017-11-11,4,32153,1614334996,1614334996,,0,,,,,,181043076.000076,4,4,
2017-11-12,9,32155,1614334996,1614334996,,0,,,,,,181043076.000076,10,10,
2017-11-13,11,32159,1614334996,1614334996,,0,,,,,,181043076.000076,11,11,
2017-11-14,8,32160,1614334996,1614334996,,0,,,,,,181043076.000076,6,6,
2017-11-15,82,32163,1614334996,1614334996,,0,,,,,,181043076.000076,81,81,
2017-11-16,5,32164,1614334996,1614334996,,0,,,,,,181043076.000076,5,5,
2017-11-17,9,32167,1614334996,1614334996,,0,,,,,,181043076.000076,6,6,
2017-11-18,7,32169,1614334996,1614334996,,0,,,,,,181043076.000076,4,4,
2017-11-19,11,32170,1614334997,1614334997,,0,,,,,,181043076.000076,19,19,
2017-11-20,16,32173,1614334997,1614334997,,0,,,,,,181043076.000076,14,14,
2017-11-21,6,32175,1614334997,1614334997,,0,,,,,,181043076.000076,5,5,
2017-11-22,14,32180,1614334997,1614334997,,0,,,,,,181043076.000076,9,9,
2017-11-23,14,32182,1614334997,1614334997,,0,,,,,,181043076.000076,14,14,
2017-11-24,0,32182,1614334997,1614334997,,0,,,,,,181043076.000076,0,0,
2017-11-25,11,32184,1614334997,1614334997,,0,,,,,,181043076.000076,10,10,
2017-11-26,11,32188,1614334997,1614334997,,0,,,,,,181043076.000076,10,10,
2017-11-27,11,32191,1614334997,1614334997,,0,,,,,,181043076.000076,9,9,
2017-11-28,14,32194,1614334998,1614334998,,0,,,,,,181043076.000076,15,15,
2017-11-29,5,32195,1614334998,1614334998,,0,,,,,,181043076.000076,4,4,
2017-11-30,9,32199,1614334998,1614334998,,0,,,,,,181043076.000076,36,36,
2017-12-01,8,32200,1614334998,1614334998,,0,,,,,,181043076.000076,5,5,
2017-12-02,17,32211,1614334998,1614334998,,0,,,,,,181043076.000076,15,15,
2017-12-03,8,32212,1614334998,1614334998,,0,,,,,,181043076.000076,7,7,
2017-12-04,9,32214,1614334998,1614334998,,0,,,,,,181043076.000076,10,10,
2017-12-05,8,32216,1614334998,1614334998,,0,,,,,,181043076.000076,4,4,
2017-12-06,18,32225,1614334998,1614334998,,0,,,,,,181043076.000076,13,13,
2017-12-07,17,32229,1614334998,1614334998,,0,,,,,,181043076.000076,13,13,
2017-12-08,0,32229,1614334999,1614334999,,0,,,,,,181043076.000076,0,0,
2017-12-09,4,32230,1614334999,1614334999,,0,,,,,,181043076.000076,2,2,
2017-12-10,13,32235,1614334999,1614334999,,0,,,,,,181043076.000076,13,13,
2017-12-11,15,32244,1614334999,1614334999,,0,,,,,,181043076.000076,11,11,
2017-12-12,15,32251,1614334999,1614334999,,0,,,,,,181043076.000076,11,11,
2017-12-13,18,32261,1614334999,1614334999,,0,,,,,,181043076.000076,14,14,
2017-12-14,6,32262,1614334999,1614334999,,0,,,,,,181043076.000076,3,3,
2017-12-15,4,32264,1614334999,1614334999,,0,,,,,,181043076.000076,2,2,
2017-12-16,33,32270,1614334999,1614334999,,0,,,,,,181043076.000076,30,30,
2017-12-17,6,32272,1614335000,1614335000,,0,,,,,,181043076.000076,4,4,
2017-12-18,9,32274,1614335000,1614335000,,0,,,,,,181043076.000076,8,8,
2017-12-19,20,32281,1614335000,1614335000,,0,,,,,,181043076.000076,15,15,
2017-12-20,17,32292,1614335000,1614335000,,0,,,,,,181043076.000076,17,17,
2017-12-21,57,32340,1614335000,1614335000,,0,,,,,,181043076.000076,53,53,
2017-12-22,18,32350,1614335000,1614335000,,0,,,,,,181043076.000076,16,16,
2017-12-23,24,32364,1614335000,1614335000,,0,,,,,,181043076.000076,26,26,
2017-12-24,16,32374,1614335000,1614335000,,0,,,,,,181043076.000076,11,11,
2017-12-25,2709,35068,1614335000,1614335000,,0,,,,,,181043076.000076,3628,3628,
2017-12-26,500,35505,1614335001,1614335001,,0,,,,,,181043076.000076,518,518,
2017-12-27,18,35513,1614335001,1614335001,,0,,,,,,181043076.000076,15,15,
2017-12-28,17,35526,1614335001,1614335001,,0,,,,,,181043076.000076,15,15,
2017-12-29,32,35540,1614335001,1614335001,,0,,,,,,181043076.000076,28,28,
2017-12-30,14,35545,1614335001,1614335001,,0,,,,,,181043076.000076,11,11,
2017-12-31,14,35554,1614335001,1614335001,,0,,,,,,181043076.000076,14,14,
2018-01-01,16,35561,1614335001,1614335001,,0,,,,,,181043076.000076,12,12,
2018-01-02,38,35577,1614335001,1614335001,,0,,,,,,181043076.000076,31,31,
2018-01-03,34,35594,1614335001,1614335001,,0,,,,,,181043076.000076,25,25,
2018-01-04,27,35608,1614335002,1614335002,,0,,,,,,181043076.000076,20,20,
2018-01-05,28,35628,1614335002,1614335002,,0,,,,,,181043076.000076,24,24,
2018-01-06,38,35654,1614335002,1614335002,,0,,,,,,181043076.000076,42,42,
2018-01-07,66,35706,1614335002,1614335002,,0,,,,,,181043076.000076,83,83,
2018-01-08,65,35739,1614335002,1614335002,,0,,,,,,181043076.000076,74,74,
2018-01-09,37,35762,1614335002,1614335002,,0,,,,,,181043076.000076,32,32,
2018-01-10,52,35794,1614335002,1614335002,,0,,,,,,181043076.000076,46,46,
2018-01-11,47,35816,1614335002,1614335002,,0,,,,,,181043076.000076,39,39,
2018-01-12,43,35841,1614335002,1614335002,,0,,,,,,181043076.000076,62,62,
2018-01-13,52,35870,1614335002,1614335002,,0,,,,,,181043076.000076,45,45,
2018-01-14,47,35901,1614335003,1614335003,,0,,,,,,181043076.000076,39,39,
2018-01-15,40,35921,1614335003,1614335003,,0,,,,,,181043076.000076,40,40,
2018-01-16,159,36049,1614335003,1614335003,,0,,,,,,181043076.000076,159,159,
2018-01-17,89,36125,1614335003,1614335003,,0,,,,,,181043076.000076,90,90,
2018-01-18,160,36264,1614335003,1614335003,,0,,,,,,181043076.000076,162,162,
2018-01-19,641,36837,1614335003,1614335003,,0,,,,,,181043076.000076,790,786,
2018-01-20,2139,38877,1614335003,1614335003,,0,,,,,,181043076.000076,2303,2302,
2018-01-21,5470,44239,1614335003,1614335003,,0,,,,,,181043076.000076,5720,5720,
2018-01-22,8630,52646,1614335004,1614335004,,0,,,,,,181043076.000076,8833,8832,
2018-01-23,19,52659,1614335004,1614335004,,0,,,,,,181043076.000076,19,19,
2018-01-24,21,52668,1614335004,1614335004,,0,,,,,,181043076.000076,18,18,
2018-01-25,33,52685,1614335004,1614335004,,0,,,,,,181043076.000076,29,29,
2018-01-26,52,52719,1614335004,1614335004,,0,,,,,,181043076.000076,58,58,
2018-01-27,39,52741,1614335004,1614335004,,0,,,,,,181043076.000076,33,33,
2018-01-28,20,52755,1614335004,1614335004,,0,,,,,,181043076.000076,18,18,
2018-01-29,23,52766,1614335004,1614335004,,0,,,,,,181043076.000076,16,16,
2018-01-30,28,52776,1614335004,1614335004,,0,,,,,,181043076.000076,22,22,
2018-01-31,21,52787,1614335004,1614335004,,0,,,,,,181043076.000076,18,18,
2018-02-01,23,52799,1614335005,1614335005,,0,,,,,,181043076.000076,20,20,
2018-02-02,20,52810,1614335005,1614335005,,0,,,,,,181043076.000076,18,18,
2018-02-03,19,52827,1614335005,1614335005,,0,,,,,,181043076.000076,20,20,
2018-02-04,14,52836,1614335005,1614335005,,0,,,,,,181043076.000076,10,10,
2018-02-05,24,52843,1614335005,1614335005,,0,,,,,,181043076.000076,25,25,
2018-02-06,16,52848,1614335005,1614335005,,0,,,,,,181043076.000076,13,13,
2018-02-07,8,52852,1614335005,1614335005,,0,,,,,,181043076.000076,6,6,
2018-02-08,14,52861,1614335005,1614335005,,0,,,,,,181043076.000076,11,11,
2018-02-09,18,52874,1614335005,1614335005,,0,,,,,,181043076.000076,15,15,
2018-02-10,18,52887,1614335006,1614335006,,0,,,,,,181043076.000076,14,14,
2018-02-11,38,52919,1614335006,1614335006,,0,,,,,,181043076.000076,37,37,
2018-02-12,26,52933,1614335006,1614335006,,0,,,,,,181043076.000076,28,28,
2018-02-13,36,52956,1614335006,1614335006,,0,,,,,,181043076.000076,40,40,
2018-02-14,31,52961,1614335006,1614335006,,0,,,,,,181043076.000076,27,27,
2018-02-15,12,52968,1614335006,1614335006,,0,,,,,,181043076.000076,9,9,
2018-02-16,12,52979,1614335006,1614335006,,0,,,,,,181043076.000076,12,12,
2018-02-17,11,52984,1614335006,1614335006,,0,,,,,,181043076.000076,8,8,
2018-02-18,13,52993,1614335006,1614335006,,0,,,,,,181043076.000076,12,12,
2018-02-19,27,53002,1614335006,1614335006,,0,,,,,,181043076.000076,26,26,
2018-02-20,34,53016,1614335007,1614335007,,0,,,,,,181043076.000076,24,24,
2018-02-21,12,53021,1614335007,1614335007,,0,,,,,,181043076.000076,9,9,
2018-02-22,14,53030,1614335007,1614335007,,0,,,,,,181043076.000076,12,12,
2018-02-23,7,53035,1614335007,1614335007,,0,,,,,,181043076.000076,5,5,
2018-02-24,11,53043,1614335007,1614335007,,0,,,,,,181043076.000076,10,10,
2018-02-25,15,53053,1614335007,1614335007,,0,,,,,,181043076.000076,10,10,
2018-02-26,14,53060,1614335007,1614335007,,0,,,,,,181043076.000076,11,11,
2018-02-27,18,53065,1614335007,1614335007,,0,,,,,,181043076.000076,18,18,
2018-02-28,13,53070,1614335007,1614335007,,0,,,,,,181043076.000076,15,15,
2018-03-01,15,53074,1614335008,1614335008,,0,,,,,,181043076.000076,11,11,
2018-03-02,28,53080,1614335008,1614335008,,0,,,,,,181043076.000076,29,29,
2018-03-03,5,53083,1614335008,1614335008,,0,,,,,,181043076.000076,3,3,
2018-03-04,7,53086,1614335008,1614335008,,0,,,,,,181043076.000076,5,5,
2018-03-05,12,53092,1614335008,1614335008,,0,,,,,,181043076.000076,14,14,
2018-03-06,15,53100,1614335008,1614335008,,0,,,,,,181043076.000076,11,11,
2018-03-07,29,53109,1614335008,1614335008,,0,,,,,,181043076.000076,38,38,
2018-03-08,10,53114,1614335008,1614335008,,0,,,,,,181043076.000076,8,8,
2018-03-09,15,53125,1614335009,1614335009,,0,,,,,,181043076.000076,11,11,
2018-03-10,9,53131,1614335009,1614335009,,0,,,,,,181043076.000076,7,7,
2018-03-11,13,53138,1614335009,1614335009,,0,,,,,,181043076.000076,14,14,
2018-03-12,17,53141,1614335009,1614335009,,0,,,,,,181043076.000076,15,15,
2018-03-13,9,53146,1614335009,1614335009,,0,,,,,,181043076.000076,6,6,
2018-03-14,24,53164,1614335009,1614335009,,0,,,,,,181043076.000076,23,23,
2018-03-15,28,53168,1614335009,1614335009,,0,,,,,,181043076.000076,23,23,
2018-03-16,17,53178,1614335009,1614335009,,0,,,,,,181043076.000076,16,16,
2018-03-17,8,53183,1614335010,1614335010,,0,,,,,,181043076.000076,6,6,
2018-03-18,12,53189,1614335010,1614335010,,0,,,,,,181043076.000076,10,10,
2018-03-19,6,53193,1614335010,1614335010,,0,,,,,,181043076.000076,5,5,
2018-03-20,10,53201,1614335010,1614335010,,0,,,,,,181043076.000076,8,8,
2018-03-21,17,53210,1614335010,1614335010,,0,,,,,,181043076.000076,14,14,
2018-03-22,5,53212,1614335010,1614335010,,0,,,,,,181043076.000076,5,5,
2018-03-23,17,53223,1614335010,1614335010,,0,,,,,,181043076.000076,14,14,
2018-03-24,17,53238,1614335010,1614335010,,0,,,,,,181043076.000076,16,16,
2018-03-25,8,53242,1614335010,1614335010,,0,,,,,,181043076.000076,6,6,
2018-03-26,20,53250,1614335011,1614335011,,0,,,,,,181043076.000076,17,17,
2018-03-27,7,53253,1614335011,1614335011,,0,,,,,,181043076.000076,4,4,
2018-03-28,27,53257,1614335011,1614335011,,0,,,,,,181043076.000076,21,21,
2018-03-29,6,53261,1614335011,1614335011,,0,,,,,,181043076.000076,5,5,
2018-03-30,3,53263,1614335011,1614335011,,0,,,,,,181043076.000076,2,2,
2018-03-31,9,53268,1614335011,1614335011,,0,,,,,,181043076.000076,8,8,
2018-04-01,7,53272,1614335011,1614335011,,0,,,,,,181043076.000076,4,4,
2018-04-02,12,53275,1614335012,1614335012,,0,,,,,,181043076.000076,12,12,
2018-04-03,5,53277,1614335012,1614335012,,0,,,,,,181043076.000076,4,4,
2018-04-04,11,53284,1614335012,1614335012,,0,,,,,,181043076.000076,8,8,
2018-04-05,7,53290,1614335012,1614335012,,0,,,,,,181043076.000076,9,9,
2018-04-06,25,53311,1614335012,1614335012,,0,,,,,,181043076.000076,35,35,
2018-04-07,3999,53325,1614335012,1614335012,,0,,,,,,181043076.000076,4023,4023,
2018-04-08,7978,53337,1614335012,1614335012,,0,,,,,,180730576.000076,8009,8008,
2018-04-09,1373,53343,1614335012,1614335012,,0,,,,,,180730576.000076,1369,1369,
2018-04-10,13,53349,1614335012,1614335012,,0,,,,,,180730576.000076,20,20,
2018-04-11,4,53351,1614335013,1614335013,,0,,,,,,180730576.000076,3,3,
2018-04-12,8,53357,1614335013,1614335013,,0,,,,,,180730576.000076,7,7,
2018-04-13,11,53367,1614335013,1614335013,,0,,,,,,180730576.000076,11,11,
2018-04-14,13,53373,1614335013,1614335013,,0,,,,,,180730576.000076,11,11,
2018-04-15,13,53379,1614335013,1614335013,,0,,,,,,180730576.000076,7,7,
2018-04-16,29,53391,1614335013,1614335013,,0,,,,,,180730576.000076,25,25,
2018-04-17,21,53403,1614335013,1614335013,,0,,,,,,180730576.000076,18,18,
2018-04-18,4,53404,1614335013,1614335013,,0,,,,,,180730576.000076,3,3,
2018-04-19,12,53409,1614335013,1614335013,,0,,,,,,180730576.000076,7,7,
2018-04-20,9,53412,1614335014,1614335014,,0,,,,,,180730576.000076,7,7,
2018-04-21,7,53417,1614335014,1614335014,,0,,,,,,180730576.000076,5,5,
2018-04-22,24,53435,1614335014,1614335014,,0,,,,,,180730576.000076,24,24,
2018-04-23,26,53447,1614335014,1614335014,,0,,,,,,180730576.000076,21,21,
2018-04-24,17,53457,1614335014,1614335014,,0,,,,,,180730576.000076,15,15,
2018-04-25,24,53469,1614335014,1614335014,,0,,,,,,180730576.000076,22,22,
2018-04-26,7,53472,1614335014,1614335014,,0,,,,,,180730576.000076,5,5,
2018-04-27,9,53478,1614335014,1614335014,,0,,,,,,180730576.000076,8,8,
2018-04-28,19,53490,1614335015,1614335015,,0,,,,,,180730576.000076,13,13,
2018-04-29,16,53500,1614335015,1614335015,,0,,,,,,180730576.000076,13,13,
2018-04-30,23,53513,1614335015,1614335015,,0,,,,,,180730576.000076,20,20,
2018-05-01,22,53524,1614335015,1614335015,,0,,,,,,180730576.000076,16,16,
2018-05-02,10,53528,1614335015,1614335015,,0,,,,,,180730576.000076,7,7,
2018-05-03,18,53539,1614335015,1614335015,,0,,,,,,180730576.000076,15,15,
2018-05-04,17,53547,1614335015,1614335015,,0,,,,,,180730576.000076,12,12,
2018-05-05,13,53556,1614335016,1614335016,,0,,,,,,180730576.000076,12,12,
2018-05-06,8,53560,1614335016,1614335016,,0,,,,,,180730576.000076,6,6,
2018-05-07,18,53567,1614335016,1614335016,,0,,,,,,180730576.000076,18,18,
2018-05-08,13,53572,1614335016,1614335016,,0,,,,,,180730576.000076,9,9,
2018-05-09,20,53586,1614335016,1614335016,,0,,,,,,180730576.000076,15,15,
2018-05-10,32,53596,1614335016,1614335016,,0,,,,,,180730576.000076,26,26,
2018-05-11,20,53610,1614335016,1614335016,,0,,,,,,180730576.000076,17,17,
2018-05-12,14,53617,1614335016,1614335016,,0,,,,,,180730576.000076,11,11,
2018-05-13,9,53622,1614335016,1614335016,,0,,,,,,180730576.000076,8,8,
2018-05-14,26,53632,1614335017,1614335017,,0,,,,,,180730576.000076,20,20,
2018-05-15,30,53652,1614335017,1614335017,,0,,,,,,180730576.000076,26,26,
2018-05-16,17,53664,1614335017,1614335017,,0,,,,,,180730576.000076,15,15,
2018-05-17,13,53670,1614335017,1614335017,,0,,,,,,180730576.000076,11,11,
2018-05-18,6,53673,1614335017,1614335017,,0,,,,,,180730576.000076,5,5,
2018-05-19,11,53680,1614335018,1614335018,,0,,,,,,180730576.000076,9,9,
2018-05-20,14,53686,1614335018,1614335018,,0,,,,,,180730576.000076,7,7,
2018-05-21,28,53697,1614335018,1614335018,,0,,,,,,180730576.000076,27,27,
2018-05-22,18,53703,1614335018,1614335018,,0,,,,,,180730576.000076,16,16,
2018-05-23,20,53716,1614335018,1614335018,,0,,,,,,180730576.000076,16,16,
2018-05-24,15,53724,1614335018,1614335018,,0,,,,,,180730576.000076,17,17,
2018-05-25,3,53726,1614335018,1614335018,,0,,,,,,180730576.000076,2,2,
2018-05-26,10,53730,1614335018,1614335018,,0,,,,,,180730576.000076,6,6,
2018-05-27,6,53732,1614335019,1614335019,,0,,,,,,180730576.000076,3,3,
2018-05-28,17,53737,1614335019,1614335019,,0,,,,,,180730576.000076,14,14,
2018-05-29,11,53742,1614335019,1614335019,,0,,,,,,180730576.000076,7,7,
2018-05-30,2,53743,1614335019,1614335019,,0,,,,,,180730576.000076,1,1,
2018-05-31,18,53746,1614335019,1614335019,,0,,,,,,180730576.000076,16,16,
2018-06-01,2,53747,1614335019,1614335019,,0,,,,,,180730576.000076,3,3,
2018-06-02,16,53752,1614335019,1614335019,,0,,,,,,180730576.000076,10,10,
2018-06-03,6,53755,1614335019,1614335019,,0,,,,,,180730576.000076,4,4,
2018-06-04,27,53760,1614335020,1614335020,,0,,,,,,180730576.000076,23,23,
2018-06-05,24,53765,1614335020,1614335020,,0,,,,,,180730576.000076,19,18,
2018-06-06,15,53772,1614335020,1614335020,,0,,,,,,180730576.000076,11,11,
2018-06-07,10,53775,1614335020,1614335020,,0,,,,,,180730576.000076,8,8,
2018-06-08,4,53777,1614335020,1614335020,,0,,,,,,180730576.000076,4,4,
2018-06-09,12,53782,1614335020,1614335020,,0,,,,,,180730576.000076,8,8,
2018-06-10,8,53786,1614335020,1614335020,,0,,,,,,180730576.000076,10,10,
2018-06-11,11,53791,1614335021,1614335021,,0,,,,,,180730576.000076,14,14,
2018-06-12,11,53795,1614335021,1614335021,,0,,,,,,180730576.000076,10,10,
2018-06-13,21,53799,1614335021,1614335021,,0,,,,,,180730576.000076,18,18,
2018-06-14,6,53803,1614335021,1614335021,,0,,,,,,180730576.000076,4,4,
2018-06-15,7,53807,1614335021,1614335021,,0,,,,,,180730576.000076,5,5,
2018-06-16,5,53810,1614335021,1614335021,,0,,,,,,180730576.000076,3,3,
2018-06-17,7,53813,1614335021,1614335021,,0,,,,,,180730576.000076,7,7,
2018-06-18,14,53819,1614335021,1614335021,,0,,,,,,180730576.000076,14,14,
2018-06-19,15,53825,1614335022,1614335022,,0,,,,,,180730576.000076,22,22,
2018-06-20,17,53835,1614335022,1614335022,,0,,,,,,180730576.000076,34,34,
2018-06-21,12,53839,1614335022,1614335022,,0,,,,,,180730576.000076,42,42,
2018-06-22,4,53841,1614335022,1614335022,,0,,,,,,180730576.000076,2,2,
2018-06-23,4,53842,1614335023,1614335023,,0,,,,,,180730576.000076,4,4,
2018-06-24,12,53849,1614335023,1614335023,,0,,,,,,180730576.000076,9,9,
2018-06-25,18,53853,1614335023,1614335023,,0,,,,,,180730576.000076,23,23,
2018-06-26,16,53858,1614335023,1614335023,,0,,,,,,180730576.000076,25,25,
2018-06-27,18,53862,1614335023,1614335023,,0,,,,,,180730576.000076,61,61,
2018-06-28,67,53868,1614335023,1614335023,,0,,,,,,180730576.000076,81,81,
2018-06-29,19,53879,1614335023,1614335023,,0,,,,,,180730576.000076,20,20,
2018-06-30,5,53881,1614335024,1614335024,,0,,,,,,180730576.000076,6,6,
2018-07-01,4,53884,1614335024,1614335024,,0,,,,,,180730576.000076,3,3,
2018-07-02,18,53897,1614335024,1614335024,,0,,,,,,180730576.000076,17,17,
2018-07-03,24,53906,1614335024,1614335024,,0,,,,,,180730576.000076,20,20,
2018-07-04,21,53915,1614335024,1614335024,,0,,,,,,180730576.000076,32,32,
2018-07-05,16,53917,1614335024,1614335024,,0,,,,,,180730576.000076,21,21,
2018-07-06,10,53921,1614335024,1614335024,,0,,,,,,180730576.000076,8,8,
2018-07-07,6,53924,1614335025,1614335025,,0,,,,,,180730576.000076,6,6,
2018-07-08,14,53928,1614335025,1614335025,,0,,,,,,180730576.000076,10,10,
2018-07-09,8,53932,1614335025,1614335025,,0,,,,,,180730576.000076,6,6,
2018-07-10,39,53947,1614335025,1614335025,,0,,,,,,180730576.000076,33,33,
2018-07-11,14,53953,1614335025,1614335025,,0,,,,,,180730576.000076,9,9,
2018-07-12,15,53960,1614335025,1614335025,,0,,,,,,180730576.000076,11,11,
2018-07-13,9,53964,1614335025,1614335025,,0,,,,,,180730576.000076,5,5,
2018-07-14,10,53971,1614335025,1614335025,,0,,,,,,180730576.000076,8,8,
2018-07-15,5,53974,1614335026,1614335026,,0,,,,,,180730576.000076,3,3,
