time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2023-09-30,0,24170,1696120630,1696120630,0.021792423745,11440417.72226213,4769471.710351103369372498140143119615506,0,0,0.0000060581361421521564,0.163434538889459,-49.03075720026715,12.056981317064535,70000000,0,0,462012.088898725
2023-10-01,0,24170,1696207466,1696207466,0.022606641719,11867859.56389684,4947670.777989170024947967172561398620808,0,0,0.0000060658307401452294,0.169540850912812,-48.59159568100049,20.031565600188728,70000000,0,0,657756.451831431
2023-10-02,0,24170,1696293369,1696293369,0.022305234323,11709629.04492584,4881705.006260588865451817080150388990608,0,0,0.000006068384485429097,0.167280414927512,-46.23974445593431,16.120651207746818,70000000,0,0,939230.622333562
2023-10-03,0,24170,1696379280,1696379280,0.022270931196,11691620.85524615,4874197.45248789890374061803627903598263,0,0,0.000006087039952565252,0.167023155074945,-46.68554218573554,12.75854613553686,70000000,0,0,7765754.91790526
2023-10-04,0,24170,1696466140,1696466140,0.019956904864,10476821.24578439,4367751.576844838339503145227142656014118,0,0,0.000005384304872068834,0.149668874939777,-54.0419590804819,0.1612331393128016,70000000,0,0,2992077.91360718
2023-10-05,0,24170,1696552513,1696552513,0.019554366019,10265499.52254015,4279652.26043309845743277567744608834543,0,0,0.000005347048346537476,0.146649993179145,-53.56991938290743,-3.346015326720881,70000000,0,0,856003.010610453
2023-10-06,0,24170,1696638534,1696638534,0.020020817696,10510373.70908525,4381739.48606380372029736861148933300605,0,0,0.000005373573568295685,0.150148195844075,-52.064361860740654,-0.1706465399512003,70000000,0,0,527490.212383765
2023-10-07,0,24170,1696725514,1696725514,0.019562914156,10269987.05739958,4281523.098638561616089616927619970527196,0,0,0.000005244893426040481,0.146714100819994,-51.79542341571146,-5.7743047563736996,70000000,0,0,433637.712134497
2023-10-08,0,24170,1696812194,1696812194,0.019328759899,10147062.57011741,4230276.292898167998066695639708885935042,0,0,0.000005188872585303354,0.144958036715963,-51.83121333327608,-5.065413086243188,70000000,0,0,258910.395445112
2023-10-09,2,24169,1696898435,1696898435,0.018158277727,9532575.38748459,3974098.651041828534020594748487189817358,0,0,0.000004935592654034666,0.136179648392637,-54.98453952526925,-10.518086281551499,70000000,1,1,1080252.97524239
2023-10-10,0,24169,1696984057,1696984057,0.019017185503,9983477.35366674,4162078.165781279868659639906431479763188,0,0,0.000005201391684794413,0.142621105052382,-51.970307990753476,-2.4103652262090582,70000000,0,0,2075419.08951726
2023-10-11,0,24169,1697070962,1697070962,0.018185679597,9546960.5840798,3980095.79117030338807548123366673783276,0,0,0.000005083654163925782,0.13638515120114,-52.9262063667186,-3.6987565224973404,70000000,0,0,688364.320624175
2023-10-12,0,24169,1697157149,1697157149,0.018062394024,9482239.19116586,3953113.659918498178187452814708992904932,0,0,0.000005065585974344712,0.135460559873798,-54.315319291006034,-4.309169182857845,70000000,0,0,2255627.57700889
2023-10-13,0,24169,1697243219,1697243219,0.019537872312,10256823.0049166,4276035.04938761733948280679605899522892,0,0,0.0000054587439133697454,0.14652604292738,-50.75929102359951,-0.08215765219923872,70000000,0,0,3956478.00218321
2023-10-14,0,24169,1697330464,1697330464,0.020017736674,10508738.0424383,4381057.58213428091651644836889861929046,0,0,0.0000055887457868407855,0.15012482917769,-46.25519082027679,3.357041107665776,70000000,0,0,6339531.49772144
2023-10-15,0,24169,1697417124,1697417124,0.020686764823,10859958.6457656,4527480.27161373261606086890148234068272,0,0,0.000005718411812693364,0.15514226636808,-43.037323931336616,3.9291943200160624,70000000,0,0,3106461.28378151
2023-10-16,0,24169,1697502577,1697502577,0.02011638683,10560526.54691104,4402648.035647483981797068179535629910848,0,0,0.000005292235481838345,0.150864664955872,-49.398094337180254,-2.1083033535641933,70000000,0,0,1069221.56838042
2023-10-17,0,24169,1697589404,1697589404,0.01994906003,10472684.77223451,4366027.094919814078990529263342306462062,0,0,0.0000052617980160655025,0.149609782460493,-47.490499871838466,-6.469068729064808,70000000,0,0,982840.64197318
2023-10-18,0,24169,1697675910,1697675910,0.019868224076,10430248.21339991,4348335.436122039511731005060307124361542,0,0,0.000005259924855562119,0.149003545905713,-47.301156891743844,-3.426627896797881,70000000,0,0,2817177.8247113
2023-10-19,0,24169,1697762217,1697762217,0.019528299885,10251797.75507909,4273940.039614433005131965026137647698258,0,0,0.0000051046506088789474,0.146454253643987,-47.24884182543023,-5.649270035884404,70000000,0,0,681076.493713953
2023-10-20,0,24169,1697848570,1697848570,0.019898552013,10446169.51128933,4354972.971719004274591254599018845216146,0,0,0.000005023769282261625,0.149230993018419,-45.54707557447946,-4.1482559707727376,70000000,0,0,703275.228818651
2023-10-21,0,24169,1697935073,1697935073,0.019957723456,10477232.82255244,4367923.161816603169899857299501825121528,0,0,0.0000050020727709749265,0.149674754607892,-44.83128657570797,-0.9582393321754353,70000000,0,0,651642.342298564
2023-10-22,0,24169,1698021468,1698021468,0.020400695433,10709780.41479668,4464871.471698758124412575502347170590216,0,0,0.000005102589718699329,0.152996863068524,-43.5363598482276,-2.709157341652275,70000000,0,0,430851.199576467
2023-10-23,0,24169,1698107592,1698107592,0.020354502184,10685530.28313946,4454761.673287609651776301402234152557252,0,0,0.000004632203967665674,0.152650432616278,-43.622280472083865,-12.146584352773361,70000000,0,0,789837.074669069
2023-10-24,0,24169,1698194156,1698194156,0.020489343182,10756317.9424988,4484272.81063877138985016899039454892056,0,0,0.000004535340795225391,0.15366168489284,-43.2046934587371,-2.2939774533664044,70000000,0,0,1107595.6811108
2023-10-25,0,24169,1698280979,1698280979,0.020655320841,10843451.45641751,4520598.479836154338989088076495648126662,0,0,0.00000449151849400057,0.154906449377393,-42.36671261937499,-3.348804004093637,70000000,0,0,701157.656104917
2023-10-26,0,24169,1698366967,1698366967,0.021365584923,11216319.74326759,4676046.015843335582757002638475891401958,0,0,0.000004687716323422448,0.160233139189537,-40.4397985116451,-0.9421828921168859,70000000,0,0,977374.974076597
2023-10-27,0,24169,1698453323,1698453323,0.021273313057,11167879.6581975,4655851.5071289184228880748322387695495,0,0,0.000004706653311502902,0.15954113797425,-41.10261819777503,-0.19489270742494583,70000000,0,0,558107.418843762
2023-10-28,0,24169,1698539866,1698539866,0.021472486978,11272440.25823083,4699442.469975133066725949029376779618446,0,0,0.00000472359503915375,0.161034860831869,-41.369211220273016,-3.920731200141198,70000000,0,0,685271.633577151
2023-10-29,0,24169,1698626424,1698626424,0.021534105257,11304788.08884824,4712928.171875750367783057641015535653488,0,0,0.000004671006976410239,0.161496972697832,-40.03679341898849,-1.0354250267298897,70000000,0,0,483938.207005086
2023-10-30,0,24169,1698712425,1698712425,0.021937168476,11516384.72700744,4801142.099391864857786623731192168792528,0,0,0.0000047693660220902855,0.164519781814392,-38.31196935889057,0.664022998019423,70000000,0,0,947466.47853465
2023-10-31,2,24169,1698799231,1698799231,0.021326803275,11195933.5442045,4667547.0779484552705559981664865119629,0,0,0.0000046177369913087985,0.15994190777435,-38.99642140776739,-5.661728773201903,70000000,1,1,1709674.40983023
2023-11-01,0,24169,1698885663,1698885663,0.021097680784,11075651.09261464,4617401.728011348422814344487754788989168,0,0,0.000004465558782741591,0.158223587037352,-39.80988248062456,-5.414159149524233,70000000,0,0,1016848.95741705
2023-11-02,0,24169,1698971562,1698971562,0.021138248919,11096948.14922323,4626280.399356605150687708116604239815326,0,0,0.000004544569170441841,0.158527830703189,-38.08781097862458,-5.086315348278551,70000000,0,0,735411.536554868
2023-11-03,0,24169,1699058395,1699058395,0.021049275048,11050239.52946795,4606807.73271447270471330967763589871579,0,0,0.000004548218149875026,0.157860564706685,-40.50301289847839,5.4732086215013735,70000000,0,0,588596.236395235
2023-11-04,0,24169,1699144582,1699144582,0.02166993912,11376069.59497813,4742645.192286304516150878243934228414706,0,0,0.000004631242385098818,0.162515279928259,-40.15903315721912,10.818470840113337,70000000,0,0,1607772.17793555
2023-11-05,3,24171,1699231811,1699231811,0.021004019563,11026276.03949956,4596817.434260325070017096434901687720872,0,0,0.000004487054281729262,0.157518229135708,-41.63513679251699,4.908506059764188,70000000,2,2,785386.271046107
2023-11-06,0,24171,1699317921,1699317921,0.021607323896,11342986.85251529,4728853.108106519245056986045909961224698,0,0,0.00000462744838247432,0.162042669321647,-37.43985976302118,10.4479176956957,70000000,0,0,542679.54387177
2023-11-07,0,24171,1699404051,1699404051,0.021696852506,11389985.81669802,4748446.818364942569521312223188180733924,0,0,0.00000459404518157196,0.162714083095686,-38.89781322097184,12.249094139233522,70000000,0,0,1020358.52818936
2023-11-08,3,24170,1699490500,1699490500,0.022017877884,11558511.85545763,4818704.757702017829161046884121601532606,0,0,0.000004612606404332862,0.165121597935109,-24.06069984757703,21.25277152943277,70000000,3,3,1057339.18188583
2023-11-09,3,24169,1699576878,1699576878,0.022760572827,11946979.02970817,4980655.417456566517969135328515465693354,0,0,0.00000465356809586651,0.170671128995831,4.673771810107098,19.667512696067497,70000000,2,2,3435779.72591416
2023-11-10,0,24169,1699663406,1699663406,0.023012084015,12078996.74824906,5035693.160756849321695869168360473812772,0,0,0.000004617839630464667,0.172557096403558,-13.361277036307733,26.521908641705316,70000000,0,0,1745960.89236581
2023-11-11,0,24169,1699749906,1699749906,0.022756740042,11944967.20876039,4979816.696062848810466513729051765025318,0,0,0.000004614459328947573,0.170642388696577,-6.5910068743683246,25.972009015433134,70000000,0,0,1171832.96554257
2023-11-12,0,24169,1699835697,1699835697,0.023524604824,12348017.89294941,5147847.172112379006736736267933277413442,0,0,0.000004760711196561482,0.176400255613563,-3.3637311878336975,20.38832967118959,70000000,0,0,2703594.9192543
2023-11-13,2,24169,1699922943,1699922943,0.022180233363,11642293.76827335,4853633.15566043315512605038169817038327,0,0,0.000004551275545678169,0.166318482403905,-6.639987559922528,10.786792108218135,70000000,1,1,1112259.73509696
2023-11-14,0,24169,1700008724,1700008724,0.021701786943,11391159.63120961,4748936.177690986575887953322910803488682,0,0,0.000004572287901667723,0.162730851874423,-8.634002762014848,4.8913720831812615,70000000,0,0,790491.737276176
2023-11-15,0,24169,1700095327,1700095327,0.022507546916,11814099.01856324,4925258.187266831170767456926311326536488,0,0,0.00000446010503438469,0.168772843122332,-7.869744701474056,11.870359551521332,70000000,0,0,1038950.59358037
2023-11-16,0,24169,1700182092,1700182092,0.02165664326,11367463.93696984,4739057.522376347784233150014465457303408,0,0,0.00000449088842955803,0.162392341956712,-15.37408164665061,8.543932947429063,70000000,0,0,1043158.54453529
2023-11-17,3,24168,1700268517,1700268517,0.021836937527,11462014.31096043,4778475.255618178024780877542696726317966,0,0,0.000004477559499120483,0.163743061585149,-16.969782862590485,9.892056990887276,70000000,2,2,914624.214754204
2023-11-18,0,24168,1700354900,1700354900,0.021647833519,11362755.29861801,4737094.506867777102930493778583822424762,0,0,0.000004437848642008872,0.162325075694543,-15.243527670444536,10.836709522371455,70000000,0,0,788691.115881065
2023-11-19,2,24168,1700441041,1700441041,0.022093189811,11596502.7994592,4834543.05461249049784951201004813619904,0,0,0.000004424472582267851,0.16566432570656,-12.512581551873968,11.01201054536487,70000000,1,1,385493.632599315
2023-11-20,0,24168,1700527393,1700527393,0.021978829304,11536476.06937441,4809518.112520806303540021210834587998442,0,0,0.000004392967792771181,0.164806800991063,-17.262498709051762,10.10995235824033,70000000,0,0,517753.579297044
2023-11-21,0,24168,1700613546,1700613546,0.02016220901,10582949.55281802,4411996.111472221457527612284234461877924,0,0,0.000004195500341293011,0.151184993611686,-20.03629778371351,-1.184252683681827,70000000,0,0,743873.226943678
2023-11-22,4,24168,1700700182,1700700182,0.0208743965,10956754.55459921,4567834.160786963051093499323953112880202,0,0,0.000004184822601981619,0.156525065065703,-22.329697571301757,2.5382387609504957,70000000,2,2,582492.978796662
