time,AdrActCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-05-12,13,1752760316,1752760316,,,,,,13395707.75,14,14
2018-05-13,6,1752760316,1752760316,,,,,,13395707.75,7,7
2018-05-14,16,1752760316,1752760316,,,,,,13405782.75,20,20
2018-05-15,14,1752760316,1752760316,,,,,,13405782.75,16,16
2018-05-16,353,1752760316,1752760316,,,,,,16193018.28,510,510
2018-05-17,350,1752760317,1752760317,,,,,,16193018.28,546,546
2018-05-18,141,1752760317,1752760317,,,,,,16599966.78,188,188
2018-05-19,96,1752760317,1752760317,,,,,,16599966.78,113,113
2018-05-20,159,1752760317,1752760317,,,,,,16599966.78,209,209
2018-05-21,760,1752760317,1752760317,,,,,,33105259.88,1399,1399
2018-05-22,471,1752760317,1752760317,,,,,,33105259.88,1066,1066
2018-05-23,191,1752760318,1752760318,,,,,,33105259.88,476,476
2018-05-24,115,1752760318,1752760318,,,,,,33255259.88,208,208
2018-05-25,62,1752760318,1752760318,,,,,,33255259.88,98,98
2018-05-26,47,1752760318,1752760318,,,,,,38624456.77,67,67
2018-05-27,52,1752760318,1752760318,,,,,,38624456.77,73,73
2018-05-28,53,1752760319,1752760319,,,,,,38624456.77,88,88
2018-05-29,279,1752760319,1752760319,,,,,,38624456.77,348,348
2018-05-30,63,1752760319,1752760319,,,,,,38624456.77,116,116
2018-05-31,82,1752760319,1752760319,,,,,,41314986.77,122,122
2018-06-01,55,1752760320,1752760320,,,,,,43393955.82,80,80
2018-06-02,50,1752760320,1752760320,,,,,,43393955.82,84,83
2018-06-03,49,1752760320,1752760320,,,,,,43393955.82,90,90
2018-06-04,85,1752760320,1752760320,,,,,,43393955.82,158,158
2018-06-05,79,1752760321,1752760321,,,,,,43523902.82,124,124
2018-06-06,52,1752760321,1752760321,,,,,,43523902.82,74,74
2018-06-07,50,1752760321,1752760321,,,,,,43858902.82,57,57
2018-06-08,57,1752760321,1752760321,,,,,,43858902.82,75,75
2018-06-09,45,1752760321,1752760321,,,,,,43868902.82,59,59
2018-06-10,64,1752760322,1752760322,,,,,,43868902.82,123,123
2018-06-11,71,1752760322,1752760322,,,,,,43868902.82,149,149
2018-06-12,66,1752760322,1752760322,,,,,,44393977.82,119,119
2018-06-13,121,1752760322,1752760322,,,,,,48500679.77,237,237
2018-06-14,116,1752760322,1752760322,,,,,,48660679.77,181,181
2018-06-15,125,1752760322,1752760322,,,,,,49360679.77,186,188
2018-06-16,56,1752760323,1752760323,,,,,,49360679.77,93,93
2018-06-17,95,1752760323,1752760323,,,,,,49360679.77,123,123
2018-06-18,82,1752760323,1752760323,,,,,,62102831.74,125,125
2018-06-19,83,1752760323,1752760323,,,,,,62590835.74,114,114
2018-06-20,109,1752760323,1752760323,,,,,,62590835.74,168,168
2018-06-21,83,1752760324,1752760324,,,,,,62590835.74,112,112
2018-06-22,119,1752760324,1752760324,,,,,,66936594.73,218,218
2018-06-23,78,1752760324,1752760324,,,,,,72892044.66,106,106
2018-06-24,110,1752760324,1752760324,,,,,,72892044.66,227,227
2018-06-25,81,1752760325,1752760325,,,,,,72892044.66,138,138
2018-06-26,87,1752760325,1752760325,,,,,,80123627.46,163,163
2018-06-27,91,1752760325,1752760325,,,,,,80123627.46,137,137
2018-06-28,79,1752760325,1752760325,,,,,,80123627.46,107,107
2018-06-29,120,1752760326,1752760326,,,,,,83460644.36,163,163
2018-06-30,97,1752760326,1752760326,,,,,,83792510.88,123,123
2018-07-01,89,1752760326,1752760326,,,,,,83792510.88,123,123
2018-07-02,95,1752760326,1752760326,,,,,,88931845.66,137,137
2018-07-03,94,1752760326,1752760326,,,,,,88073790.35,113,113
2018-07-04,97,1752760327,1752760327,,,,,,88073790.35,139,139
2018-07-05,106,1752760327,1752760327,,,,,,88073790.35,142,142
2018-07-06,73,1752760327,1752760327,85434530.6300309918731077,0.00015114958727019756,0.997354368957066,,,85661158.45,78,77
2018-07-07,131,1752760327,1752760327,85624995.375258737005401,0.00014847633820786181,1.00041219818378,,,85589715.45,257,257
2018-07-08,159,1752760327,1752760327,85188226.7423276311012938,0.00014844459750731833,0.995309147768964,,,85589715.45,255,236
2018-07-09,108,1752760327,1752760327,80879777.2074164833986368,0.00014934919374781918,0.995266625482144,,,81264432.2,172,172
2018-07-10,138,1752760328,1752760328,79507234.37919741958725531,0.00015756965299966067,0.994120177270357,,,79977487.83,201,201
2018-07-11,103,1752760328,1752760328,79781210.6751880205598822,0.00015710435750364505,1.00200790199634,,,79621338.83,139,139
2018-07-12,131,1752760328,1752760328,79324296.7417328399951171,0.00016244813955477124,1.00059390220037,,,79277213.83,176,178
2018-07-13,59,1752760328,1752760328,79882490.5845157854058627,0.00016226609668193602,1.00750785310469,,,79287213.83,71,72
2018-07-14,56,1752760328,1752760328,79157271.42447977976385672,0.00015958206820308765,0.998203786188692,,,79299710.66,62,62
2018-07-15,96,1752760329,1752760329,79483952.582689486496381,0.00015790577336198777,1.00232336185285,,,79299710.66,128,118
2018-07-16,97,1752760329,1752760329,79342727.7292246533170392,0.00014958095604059482,1.00380899230012,,,79041658.66,125,123
2018-07-17,109,1752760329,1752760329,80566919.89335972639300728,0.0001360898686802794,0.996258788787508,,,80869469.66,151,153
2018-07-18,163,1752760329,1752760329,78565450.73792419678499952,0.00013501068098329826,0.995843959144472,,,78893334.66,239,247
2018-07-19,114,1752760329,1752760329,77922459.54012020827820024,0.00013387208962342158,0.999627484772564,,,77951497.66,130,132
2018-07-20,98,1752760330,1752760330,76276778.6295414571635204,0.0001354458270841615,0.99244634167794,,,76857332.66,144,145
2018-07-21,86,1752760330,1752760330,76576384.2004406681513539,0.0001344666857159513,0.996474198255415,,,76847332.66,126,127
2018-07-22,75,1752760330,1752760330,76927996.7804216343344072,0.000135286420158978,1.00104966714692,,,76847332.66,95,95
2018-07-23,124,1752760331,1752760331,72187109.950840926420438,0.00012964595125313413,1.00036872527076,,,72160502.55,159,157
2018-07-24,134,1752760331,1752760331,70527769.5956731203036775,0.00011874416273358443,0.99716794281805,,,70728075.55,199,199
2018-07-25,119,1752760331,1752760331,69546453.9722651835826074,0.00012158191454787984,0.997302450171585,,,69734566.44,166,169
2018-07-26,120,1752760331,1752760331,67603072.3695245905557863633913,0.0001263912658301831,1.00025172874913,,,67586059.01543001,171,176
2018-07-27,121,1752760332,1752760332,62383604.70825396787072948,0.00012192580172744555,0.996594022626874,,,62596808.02,157,158
2018-07-28,87,1752760332,1752760332,62345061.1475230223903861,0.0001216037234631137,0.995978279397305,,,62596808.02,110,116
2018-07-29,80,1752760332,1752760332,62617677.0023317527724048,0.00012155301322224365,1.00033338732424,,,62596808.02,101,102
2018-07-30,128,1752760332,1752760332,61731660.24427014506105372,0.00012189795729600951,0.996130544751886,,,61971456.02,184,189
2018-07-31,107,1752760332,1752760332,60537252.810628862827917,0.00013007643861573604,1.00485779314835,,,60244597.02,151,161
2018-08-01,81,1752760332,1752760332,57577269.26920843574700814,0.00013130417206185007,0.997478142867107,,,57722838.02,112,113
2018-08-02,94,1752760333,1752760333,60940508.5932962135589402,0.00013348446373961264,1.00683255209451,,,60526955.02,120,120
2018-08-03,268,1752760333,1752760333,59400379.446663814276237,0.00013531268732350132,1.00284890716685,,,59231634.02,400,408
2018-08-04,123,1752760333,1752760333,59566511.6205899244902784,0.00014306397248593712,1.00176378604992,,,59461634.02,161,164
2018-08-05,88,1752760333,1752760333,59557597.4573344474821046,0.0001424449081743364,1.00161387151423,,0.4270801522249481,59461634.02,100,104
2018-08-06,96,1752760333,1752760333,59057605.7706997952555256,0.00014443716774779696,1.00094825727828,,0.0535838222957749,59001657.02,112,114
2018-08-07,124,1752760334,1752760334,58860143.95809877845030592,0.00014867788193489412,0.999498722528096,,0.4209320057515003,58889664.02,191,202
2018-08-08,153,1752760334,1752760334,58862760.6740272891032574,0.0001608598926421069,1.00817146917887,,1.2966217660995485,58385664.02,235,234
2018-08-09,270,1752760334,1752760334,59120865.02463701921541366,0.00015196967900964398,0.996631882015083,,0.2526560472419613,59320664.02,483,488
2018-08-10,254,1752760334,1752760334,59250821.31466950114969206,0.00016275988646630385,0.998654275885003,,-0.33469058523943535,59330664.02,419,442
2018-08-11,305,1752760334,1752760334,60869275.3872098693118576,0.00015855613618820318,1.00108369574088,,0.04895028237058445,60803383.02,495,504
2018-08-12,188,1752760335,1752760335,60991500.8282059515147732,0.00015885080783559343,1.00309387074966,,-0.4381089776549198,60803383.02,253,256
2018-08-13,207,1752760335,1752760335,61198537.2679382856594786,0.00016063250797789243,1.00649888588943,,0.8310026284722892,60803383.02,336,341
2018-08-14,286,1752760335,1752760335,58886323.3728778530653712,0.00016192502316234522,1.00147859294456,,-0.084281075393513,58799383.02,439,449
2018-08-15,221,1752760335,1752760335,60368993.2415883856350136,0.00016060469722099013,1.00702594924868,,0.3204750080180618,59947803.02,326,338
2018-08-16,198,1752760336,1752760336,64569273.2302995074719168,0.00015913969408500422,1.00110810301984,,0.4867524670205401,64497803.02,279,281
2018-08-17,184,1752760336,1752760336,64863666.9666709226427764,0.00015323183089165145,1.00567250246582,,0.9869561622677973,64497803.02,245,250
2018-08-18,156,1752760336,1752760336,65166858.97570094787896292,0.00015602571303750858,0.998453386821246,,-0.11745354836708963,65267803.02,213,220
2018-08-19,129,1752760336,1752760336,65716926.8832844647787698,0.0001551263723633163,1.00688124683999,,1.454477139554434,65267803.02,170,180
2018-08-20,148,1752760337,1752760337,65256202.2912012737614734,0.0001593862257172265,0.99982225954817,,0.3359907661047968,65267803.02,209,207
2018-08-21,169,1752760337,1752760337,65263925.12334884751485742,0.00015447687911442935,0.999940584844721,,-0.11079193556499091,65267803.02,256,257
2018-08-22,238,1752760337,1752760337,66051943.7063881102080912,0.00015740330562105903,1.00187358781656,,0.15043078694735895,65928421.02,406,415
2018-08-23,151,1752760337,1752760337,68121960.92158593370085856,0.00015342388608718707,0.999772796014128,,0.26122512409660964,68137442.02,241,245
2018-08-24,160,1752760337,1752760337,68507057.1056452552227652,0.00014989419543369982,1.00395113119226,,0.6666664680840854,68237442.02,227,231
2018-08-25,169,1752760338,1752760338,72706431.00944704002457716,0.00014816474716515575,0.999436254947058,,-0.08152685755331959,72747442.02,240,251
2018-08-26,126,1752760338,1752760338,72797016.6051954683044044,0.00014958161538392188,1.00068146155822,,0.41014082349923353,72747442.02,164,173
2018-08-27,196,1752760338,1752760338,72589895.29938254772566412,0.0001461108184327922,0.999275111922306,,0.3310145003358931,72642553.02,312,332
2018-08-28,316,1752760338,1752760338,72843811.9012365127349256,0.00014109684284316452,1.00079621072028,,0.046266914801071604,72785859.02,501,510
2018-08-29,178,1752760338,1752760338,72969529.4437960403808822,0.00014253695720485573,1.00252343554461,,0.6417723888103751,72785859.02,268,274
2018-08-30,178,1752760339,1752760339,72549629.2409896176944446,0.00014346743299835848,0.99953240410373,,-0.5299644468034479,72583569.02,245,257
2018-08-31,166,1752760339,1752760339,73026547.8164222185351736,0.00014238034497235084,1.00024196777068,,0.2770812496832009,73008882.02,207,220
2018-09-01,154,1752760339,1752760339,73120612.8216838057529284,0.00013924934381793065,1.00153037272442,,-0.5266197799286414,73008882.02,238,260
2018-09-02,147,1752760339,1752760339,72743452.31059892818407148,0.00013673800528588725,0.996364418930174,,-0.6466067012024135,73008882.02,197,201
2018-09-03,328,1752760339,1752760339,72820948.65603188144216056,0.00013743437508589645,0.997425883553228,,-0.43302648359818063,73008882.02,589,603
2018-09-04,236,1752760340,1752760340,72909719.47676675509407956,0.00013570693815292005,0.998641774254178,,-0.2967308405542347,73008882.02,397,404
2018-09-05,324,1752760340,1752760340,72922415.59778615071933056,0.00014708154522898796,0.998815672561728,,-0.21305643933591303,73008882.02,615,637
2018-09-06,398,1752760340,1752760340,77441115.0103453185476384,0.0001544924476318765,1.00235873190992,,0.2861443759117635,77258882.02,756,813
2018-09-07,253,1752760340,1752760340,77248077.34136880957428412,0.00015601719309467913,0.999860149689606,,-0.8243954271026187,77258882.02,351,362
2018-09-08,216,1752760340,1752760340,77458070.3941554954538572,0.0001619204415192015,1.00192977016686,,0.5315792367654478,77308882.02,320,338
2018-09-09,201,1752760341,1752760341,77860169.37203526892780128,0.00015862635293582546,0.991295150807664,,-0.736904177455949,78543882.02,336,351
2018-09-10,179,1752760341,1752760341,78318374.51238466556862268,0.00015839036488619898,0.997128897861734,,-0.39505167210011644,78543882.02,258,283
2018-09-11,170,1752760341,1752760341,82246392.1377545884234758,0.0001593386065529137,1.00039543343479,,-0.2690114448464619,82213882.02,257,270
2018-09-12,203,1752760342,1752760342,82327002.287855287035069,0.00015825684265147945,1.00137592660845,,-0.5089880726944611,82213882.02,334,354
2018-09-13,258,1752760342,1752760342,82269339.1519462369207548,0.00015419352196013888,1.00085663081274,,-0.06210438607492092,82198925.02,392,408
2018-09-14,220,1752760342,1752760342,83603847.99315901425932752,0.00015091204912556953,0.980127803176376,,-2.671047959823877,85298925.02,355,384
2018-09-15,145,1752760342,1752760342,85393967.1354783252746678,0.00015344708811828854,1.00111422407089,,0.000611427580232041,85298925.02,229,236
2018-09-16,126,1752760343,1752760343,85052487.57198484583286786,0.00015346295052212955,0.997110896204643,,-0.8513314463888262,85298925.02,201,214
2018-09-17,221,1752760343,1752760343,85533669.7182211043388498,0.00016029386581939466,1.00321436709949,,0.4768355079050247,85259614.02,394,408
2018-09-18,243,1752760343,1752760343,91538285.3653179377078934,0.00015820167032146466,1.00305361082567,,-0.3801477111955961,91259614.02,453,461
2018-09-19,233,1752760343,1752760343,94130846.9322637690102416,0.00015794035545625975,1.00828362848008,,0.8462873126803412,93357508.02,330,337
2018-09-20,218,1752760344,1752760344,93584816.8778913750112158,0.00015425379689301057,1.00243482139479,,0.24943847543264772,93357508.02,357,360
2018-09-21,390,1752760344,1752760344,93766007.1929322326442318,0.00014870662413657228,1.00245260331609,,0.05779326918796914,93536599.02,682,698
2018-09-22,260,1752760344,1752760344,93115367.6593706572693464,0.00014846024457340675,0.99549661453332,,-0.4277153267078571,93536599.02,432,439
2018-09-23,204,1752760344,1752760344,93307889.64977923674696582,0.00014881911110904334,0.997554867585341,,-0.6371090592151664,93536599.02,309,312
2018-09-24,285,1752760344,1752760344,93866281.1113042608191424,0.00015259146429053775,1.00352463201312,,0.4090683168461283,93536599.02,461,467
2018-09-25,296,1752760345,1752760345,94224644.2212128912897112,0.00015699597619313072,1.00735589286356,,0.6669886034409798,93536599.02,495,510
2018-09-26,267,1752760345,1752760345,93527251.71480673276015812,0.00015470545089613962,0.999900067938206,,0.06254093676942776,93536599.02,419,421
2018-09-27,258,1752760345,1752760345,93778076.7932165717496576,0.00015015041561312876,1.00268953378688,,0.18918167817975884,93526534.02,385,389
2018-09-28,355,1752760345,1752760345,104300450.5205965790310984,0.00015190937537780562,1.00611495799092,,0.35824822831788045,103666534.02,624,641
2018-09-29,279,1752760346,1752760346,103350476.72677526853073614,0.00015140881478998232,0.996951211919907,,-0.2582399703326827,103666534.02,445,460
2018-09-30,291,1752760346,1752760346,102776486.45524633571551444,0.00015083980058978362,0.996219204673922,,-0.4021789953208854,103166538.02,447,452
2018-10-01,299,1752760346,1752760346,106896490.5680969412272106,0.00015262479289408873,1.00149547715853,,-0.0034842244269692856,106736868.02,480,491
2018-10-02,287,1752760346,1752760346,105894852.54939871257739302,0.00015281455460360285,0.994627291276251,,-0.1743466166513836,106466868.02,550,567
2018-10-03,323,1752760347,1752760347,118264171.7594180910840856,0.0001550950444097693,1.00260522125228,,0.5192704324657313,117956868.02,530,543
2018-10-04,314,1752760347,1752760347,117432178.960111183351282,0.00015293188906298838,1.0009829016241,,0.23443114741224705,117316868.02,470,482
2018-10-05,224,1752760347,1752760347,118262065.43955822255892182,0.00015184662423215064,0.999932733753041,,0.11183857262151797,118270021.02,355,360
2018-10-06,228,1752760347,1752760347,117954719.71597317409003474,0.00015222788050842011,0.997165430345387,,-0.5181080783960126,118290021.02,330,342
2018-10-07,160,1752760348,1752760348,118256196.7801627842083357,0.000152308438384106,0.99983914035893,,-0.0021012269248434842,118275222.49,226,230
2018-10-08,256,1752760348,1752760348,116901552.0734244665296857,0.00015171260777284347,1.00201402645393,,0.008409400496798468,116666582.49,358,364
2018-10-09,245,1752760348,1752760348,118368995.07389417256870071,0.00015160952835607813,0.999171775068679,,0.7945791174906452,118467112.49,339,346
2018-10-10,245,1752760349,1752760349,117634245.74403414494892321,0.00015185290919803447,0.991463199358929,,-0.5682012140009797,118647112.49,433,441
2018-10-11,385,1752760349,1752760349,125120244.3433470794999047,0.0001644113841025767,1.01265108759703,,1.2250809782448826,123557112.49,751,785
2018-10-12,292,1752760350,1752760350,132837452.7416913814718868,0.00016162312739781783,1.00071823666132,,-0.06567862574423232,132742112.49,424,427
2018-10-13,203,1752760350,1752760350,137334554.9515841636430124,0.0001637258770385918,1.01472152624876,,1.3853028504952989,135342112.49,296,303
2018-10-14,192,1752760350,1752760350,136449950.7923696286467559,0.00016306083463372615,1.00818546631191,,2.862653527897627,135342112.49,299,304
2018-10-15,505,1752760351,1752760351,154532101.0505651227256743,0.00015734204944142888,1.01371004722007,,1.2581804200085105,152442112.49,985,1006
2018-10-16,317,1752760351,1752760351,159301844.0730643299312868,0.00015539591162408567,1.00415861572132,,0.7068140107086541,158642112.49,478,483
2018-10-17,289,1752760351,1752760351,159653777.6865874319177932,0.0001563636997304983,1.00740920864668,,0.4181400989419799,158479569.49,412,414
2018-10-18,256,1752760351,1752760351,158853994.6588465578439248,0.00015696918147579811,1.00405020043152,,0.09935556734894448,158213199.49,354,364
2018-10-19,249,1752760352,1752760352,163341470.46280191708221632,0.00015592848319648145,0.995303645739968,,-1.2873344735031036,164112199.49,413,422
2018-10-20,196,1752760352,1752760352,167066691.558437574189603,0.00015649793547490155,1.0028783248047,,0.04424261811784026,166587199.49,282,285
2018-10-21,191,1752760352,1752760352,166968759.7718223430239112,0.00015606253132110807,1.00119427817288,,-0.12552465214291472,166769590.49,229,237
2018-10-22,284,1752760353,1752760353,167094978.3750566327458617,0.00015666172660022172,1.00389361346433,,0.8434984919508158,166446898.49,374,387
2018-10-23,268,1752760353,1752760353,176160532.7201845930543074,0.00015734670848045805,1.00638760686226,,0.8854389431530014,175042430.49,363,382
2018-10-24,232,1752760353,1752760353,175887917.5966640263773884,0.00015682534686258526,1.00584698073116,,0.23141920426820126,174865482.49,335,341
2018-10-25,230,1752760353,1752760353,174962113.6877732326599297,0.0001564953827007253,1.00193427900653,,-0.53820242631611,174624341.49,365,372
2018-10-26,244,1752760354,1752760354,175295180.6706271377929058,0.00015681151997312825,1.00423799616042,,0.43383617636498656,174555415.49,343,345
2018-10-27,193,1752760354,1752760354,175295247.5473917423660394,0.00015614527092421568,1.00079833133906,,-0.18861296384309328,175155415.49,249,251
2018-10-28,165,1752760354,1752760354,178102525.207676701964472,0.0001564810540563808,1.0025167243928,,-0.3576364280782956,177655415.49,219,226
2018-10-29,374,1752760355,1752760355,176547532.60406666047512777,0.00015900575541884633,0.995859682239073,,-0.10948677004283806,177281534.49,538,545
2018-10-30,286,1752760355,1752760355,174838083.14203759930542965,0.00015898502170570938,0.997180722414355,,0.09651668387056238,175332393.83,443,447
2018-10-31,286,1752760355,1752760355,172586900.79259285936987729,0.000158160334674933,0.997409196424829,,-0.4080178919324532,173035201.01,505,522
2018-11-01,294,1752760356,1752760356,173348909.1549232629467658,0.00015810961527203476,1.00288573229658,,0.8303050894302573,172850110.01,466,468
2018-11-02,256,1752760356,1752760356,172137955.16632250081685843,0.00015708741323814665,0.997217381456043,,-0.537383975470173,172618286.01,385,386
2018-11-03,218,1752760356,1752760356,175352948.07789471846837705,0.00015767856408914198,0.998489121274705,,-0.24913316155040185,175618286.01,309,316
2018-11-04,281,1752760357,1752760357,174861237.33865212381626607,0.00015508158774315574,0.995689237786407,,-0.42437814298836835,175618286.01,393,403
2018-11-05,1180,1752760357,1752760357,169411123.90832020196871043,0.00015578852801138862,0.997505662980343,,0.03411997895256333,169834749.01,1279,1303
2018-11-06,386,1752760357,1752760357,161971862.4933141658075975,0.00015464196020773219,0.996071322629933,,-0.3768423916315503,162610707.5,614,632
2018-11-07,311,1752760358,1752760358,159032532.35390107489207155,0.0001534868356360767,0.997797935264577,,-0.420761693753265,159383505.15,495,499
2018-11-08,321,1752760358,1752760358,158522825.1465458194408856,0.00015593905048017165,0.999062969729104,,-0.010889552956752159,158671505.15,467,483
2018-11-09,260,1752760358,1752760358,157631880.95364300823766505,0.0001576638008643128,0.998229241131847,,0.6824299456896447,157911504.15,349,363
2018-11-10,204,1752760359,1752760359,157759026.82071731192018865,0.00015725117034808957,0.999034412786431,,-1.3446561187141675,157911504.15,288,292
2018-11-11,202,1752760359,1752760359,157636137.9456312735322875,0.00015757800772504992,0.99832194837525,,-0.23945684192433409,157901104.15,288,289
2018-11-12,230,1752760359,1752760359,157638353.57985517459536275,0.0001579481578599843,0.998335980159485,,-1.6147825453008258,157901104.15,331,336
2018-11-13,282,1752760360,1752760360,157551853.08534586175926665,0.00015941921310702617,0.999229742366031,,-0.8883012347559835,157673302.15,440,445
2018-11-14,621,1752760360,1752760360,155209813.4836898607156418,0.00017658197820723172,0.984313566290252,,-2.8998904578713485,157683302.15,1049,1072
2018-11-15,573,1752760360,1752760360,158019841.2229187539587078,0.00018040918700600026,0.999207216442372,,-0.49308935873555215,158145216.15,960,989
2018-11-16,483,1752760360,1752760360,158156520.77195604717277999,0.00018157277755456,0.997926932575099,,-0.941253662384037,158485071.01,699,709
2018-11-17,270,1752760361,1752760361,159169511.53977162630379486,0.0001815270714514593,0.998597182344886,,-0.5431021361571667,159393111.01,420,425
2018-11-18,201,1752760361,1752760361,159116016.82369721020063637,0.00017969287885376587,0.998261567362937,,0.297187861777593,159393111.01,285,297
2018-11-19,712,1752760361,1752760361,159393488.0604966146324088,0.00020832120781725302,0.99831689703288,,-0.45483361829644625,159662216.01,1361,1376
2018-11-20,887,1752760362,1752760362,163078276.16642360510871418,0.00023076312254307265,0.996326859102218,,-0.48616129524279406,163679494.01,1851,1879
2018-11-21,819,1752760362,1752760362,170389070.8057398724682022,0.0002196063266429541,0.999059895317922,,-0.48149705123904774,170549405.1,1402,1415
2018-11-22,678,1752760362,1752760362,180266880.395745006173171,0.00023249081164527,1.00055107188221,,-0.5799490117179883,180167595.1,1121,1141
2018-11-23,554,1752760363,1752760363,179870409.0802265031603725,0.00023272154725472718,0.998350502377475,,-0.7452901382907955,180167595.1,1086,1104
2018-11-24,489,1752760363,1752760363,183176025.1791354071068153,0.00026188859337308043,0.996830985393613,,-0.5093441475998934,183758358.1,993,1010
2018-11-25,733,1752760363,1752760363,184067635.64572752821176,0.0002537929854561509,1.0016830665496,,-0.25441475233843996,183758358.1,1539,1589
2018-11-26,629,1752760363,1752760363,184029567.1331673065570865,0.00027079560779117974,1.00202119439285,,0.12218875826400166,183658357.89,1107,1149
