date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-12,1648144.29726,438,0.0,34.22,209633.0,246,336.448831168,
2017-06-13,2858833.74622,417,0.0,38.43,386655.0,279,853.146,
2017-06-14,2426949.65777,472,0.0,38.68,725719.0,267,597.396952164,
2017-06-15,3344947.76937,445,0.0,47.99,681138.0,274,527.89,
2017-06-16,3484150.93268,448,0.0,46.21,664325.0,269,462.1,
2017-06-17,1428510.38389,526,93724400.0,48.57,598619.0,278,483.2715,
2017-06-18,1268197.57248,442,143643000.0,74.44,460199.0,285,446.637980442,
2017-06-19,5042738.46711,1087,139690000.0,71.05,1782450.0,584,677.713911092,
2017-06-20,10954819.0247,737,358237000.0,182.19,875154.0,475,994.194858208,
2017-06-21,1231220.24065,239,247407000.0,125.79,196939.0,250,943.425,
2017-06-22,3998851.0416,714,201008000.0,102.2,595125.0,529,948.56730838,
2017-06-23,3179529.48472,877,189303000.0,96.25,648668.0,600,602.23625,
2017-06-24,7994727.41761,546,179678000.0,91.33,533137.0,385,821.97,
2017-06-25,1539200.40378,501,161284000.0,81.98,448249.0,343,491.88,
2017-06-26,1433326.8693,509,174386000.0,88.64,365080.0,354,560.91392,
2017-06-27,1455376.0293,559,156778000.0,79.69,660872.0,394,478.14,
2017-06-28,1487576.02649,491,180253000.0,91.63,474827.0,361,414.44249,
2017-06-29,7615157.65388,519,200574000.0,101.95,403049.0,372,619.125532944,
2017-06-30,1657504.91249,540,166563000.0,84.67,404239.0,365,524.954,
2017-07-01,1706964.22079,479,163893000.0,83.31,418430.0,345,530.18484,
2017-07-02,1977693.06426,451,158100000.0,80.36,516134.0,317,755.836782236,
2017-07-03,3946060.62146,1315,174869000.0,88.89,1475570.0,783,533.34,
2017-07-04,6312539.39145,1873,267475000.0,135.96,2074780.0,1076,679.66404,
2017-07-05,7476742.60409,1157,368540000.0,187.33,1657050.0,766,905.83503432,
2017-07-06,9558687.43912,1139,402931000.0,204.79,1289000.0,776,819.16,
2017-07-07,4559512.72241,1150,405731000.0,206.16,1175170.0,769,810.62112,
2017-07-08,11062132.8521,1073,332598000.0,169.0,1094770.0,695,1014.0,
2017-07-09,4282482.2182,1053,354508000.0,180.13,831020.0,717,540.39,
2017-07-10,6913527.17761,1301,294083000.0,149.43,912641.0,806,555.8796,
2017-07-11,3206764.66126,1021,263683000.0,133.98,568388.0,751,499.87938,
2017-07-12,4604157.2569,1045,253958000.0,129.04,1024050.0,739,503.256,
2017-07-13,6048512.85716,852,308208000.0,156.61,551359.0,622,682.268053108,
2017-07-14,2666968.26847,1062,252924000.0,128.51,750738.0,759,628.092625,
2017-07-15,3306529.33683,955,229258000.0,116.49,526734.0,713,495.049644421,
2017-07-16,3022110.25198,944,210073000.0,106.74,846448.0,672,533.7,
2017-07-17,4380088.48142,1184,268360000.0,136.33,1096830.0,857,681.65,
2017-07-18,9738365.64643,1600,309564000.0,157.26,2329790.0,1069,786.3,
2017-07-19,11741364.6011,1390,435521000.0,221.25,1940830.0,938,885.0,
2017-07-20,6776499.74752,902,357526000.0,181.53,1201120.0,700,726.210765,
2017-07-21,5440189.00235,811,413850000.0,210.13,1171560.0,594,971.64112,
2017-07-22,3748965.16602,950,405142000.0,205.71,1366800.0,680,617.13,
2017-07-23,22803451358.1,1338,457018000.0,232.05,2101720.0,924,926.855775014,
2017-07-24,33902447.7228,3360,398911000.0,198.83,7801210.0,2037,994.15,
2017-07-25,10748481.17,1348,400704000.0,199.72,1662690.0,950,799.8786,
2017-07-26,5628581.30082,1015,318805000.0,158.9,979729.0,800,636.8712,
2017-07-27,4880871.68877,1048,292433000.0,145.76,1247980.0,780,728.8,
2017-07-28,4404191.59103,716,317210000.0,158.11,928039.0,547,634.258265,
2017-07-29,3107707.58949,712,297897000.0,148.48,780460.0,554,469.768149091,
2017-07-30,2266839.80787,627,314424000.0,156.72,529467.0,477,470.16,
2017-07-31,3463597.33356,733,283186000.0,141.15,849255.0,561,564.6,
2017-08-01,3562559.7754,817,307237000.0,153.14,1128220.0,639,756.35846,
2017-08-02,4657321.83138,1149,387512000.0,193.15,1353000.0,828,869.175,
2017-08-03,2655737.20582,796,340408000.0,169.67,929780.0,609,509.01,
2017-08-04,15408198.5272,971,320939000.0,159.97,1432100.0,721,639.88,
2017-08-05,8114370.97332,942,302681000.0,150.87,1016800.0,678,603.479766068,
2017-08-06,3345636.63666,849,303015000.0,151.03,1073450.0,614,684.77002,
2017-08-07,7569197.06539,954,326781000.0,162.86,1708830.0,698,812.477137476,
2017-08-08,9535263.60203,1123,313014000.0,156.0,1574720.0,850,780.0,
2017-08-09,3186105.82266,936,285798000.0,142.15,1016900.0,719,710.75,
2017-08-10,5131968.38595,818,258592000.0,128.62,1322830.0,649,643.1,
2017-08-11,2449888.47599,802,266489000.0,132.55,866089.0,624,704.1056,
2017-08-12,3862948.28421,952,270365000.0,134.47,1043500.0,731,707.379435,
2017-08-13,3177900.30098,1074,246326000.0,122.52,1005650.0,805,672.299450127,
2017-08-14,1769581.87378,600,243339000.0,121.03,546326.0,496,610.674606339,
2017-08-15,2064422.94971,529,257382000.0,128.02,484945.0,420,693.078469076,
2017-08-16,1088064.36671,415,243726000.0,121.22,276008.0,376,601.00876,
2017-08-17,6948979.88649,616,242230000.0,120.48,417889.0,500,562.981723206,
2017-08-18,2041239.4728,656,279299000.0,138.92,478251.0,545,694.6,
2017-08-19,2065624.00011,420,252737000.0,125.67,233569.0,378,650.833741058,
2017-08-20,991625.651748,490,253999000.0,126.3,254550.0,416,579.363815269,
2017-08-21,4477229.7175,568,254067000.0,126.33,398006.0,450,631.65,
2017-08-22,3169232.44325,513,246054000.0,122.35,373934.0,401,702.90075,
2017-08-23,1339009.66082,630,227470000.0,113.11,395507.0,482,458.699618248,
2017-08-24,4201674.0911,1055,216624000.0,107.71,1207530.0,765,601.426212792,
2017-08-25,1952867.71338,639,217867000.0,108.33,562288.0,504,655.17984,
2017-08-26,1667820.9921,683,230741000.0,114.73,529091.0,479,484.96371,
2017-08-27,1797879.65643,622,214039000.0,106.43,540851.0,502,585.365,
2017-08-28,2479452.77354,675,201107000.0,100.0,1191200.0,496,900.0,
2017-08-29,1977317.8902,549,209431000.0,104.14,441796.0,463,696.28004,
2017-08-30,2791757.02054,940,209697000.0,104.27,787137.0,715,560.13844,
2017-08-31,2736795.62488,540,188023000.0,93.49,540121.0,476,678.529559861,
2017-09-01,5545971.06727,1179,189695000.0,94.32,1127460.0,901,679.104,
2017-09-02,1596843.7304,804,189213000.0,94.08,655107.0,629,564.48,
2017-09-03,1233222.4783,602,197370000.0,98.14,616404.0,451,490.7,
2017-09-04,1539348.21799,585,199501000.0,99.2,499374.0,465,496.0,
2017-09-05,1864753.25521,541,201865000.0,100.37,529581.0,424,501.85,
2017-09-06,1746996.00777,459,203849000.0,101.36,519034.0,391,628.432,
2017-09-07,1182447.88169,477,219195000.0,108.99,434926.0,408,688.782946985,
2017-09-08,2322259.89233,597,209648000.0,104.24,613955.0,509,514.11168,
2017-09-09,1847842.23819,716,207590000.0,103.22,1067610.0,572,519.360333044,
2017-09-10,1621569.18481,424,191246000.0,95.09,324440.0,348,630.517175885,
2017-09-11,1517753.65353,562,176227000.0,87.63,611174.0,484,621.860512016,
2017-09-12,1125064.04379,500,176262000.0,87.64,412080.0,401,596.77240758,
2017-09-13,1437053.94523,492,183867000.0,91.42,457586.0,413,620.817556882,
2017-09-14,747443.085689,479,163072000.0,81.08,267914.0,396,427.37268,
2017-09-15,930100.994365,447,141134000.0,70.18,293120.0,383,366.6905,
2017-09-16,840252.514393,478,175501000.0,87.26,466838.0,388,463.00156,
2017-09-17,4376270.61027,308,173474000.0,86.26,287407.0,266,421.46636,
2017-09-18,1779046.87692,427,214384000.0,106.6,580538.0,345,613.032345215,
2017-09-19,1059185.33762,330,200832000.0,99.86,379193.0,275,498.529188421,
2017-09-20,1239885.95957,362,177047000.0,88.03,558018.0,286,616.21,
2017-09-21,8887606909.52,319,182392000.0,90.69,337306.0,270,634.83,
2017-09-22,920740.507517,321,162113000.0,80.61,463277.0,294,403.05,
2017-09-23,407408.067611,272,160907000.0,80.01,220339.0,239,266.4333,
2017-09-24,480419.834187,155,174433000.0,86.73,147935.0,154,433.65,
2017-09-25,672807.287894,201,157826000.0,78.48,265708.0,197,583.18488,
2017-09-26,560651.701629,253,162817000.0,80.96,269815.0,216,415.56768,
2017-09-27,767611.132487,265,156120000.0,77.63,354518.0,234,520.121,
2017-09-28,799814.222659,286,166954000.0,83.02,282470.0,238,672.462,
2017-09-29,632483.656206,291,151214000.0,75.19,264286.0,268,559.250151634,
2017-09-30,896867.15505,299,150826000.0,75.0,214287.0,244,424.875,
2017-10-01,710729.642086,273,130804000.0,65.04,245037.0,270,585.36,
2017-10-02,610254.61942,307,149866000.0,74.52,268205.0,281,541.457938267,
2017-10-03,1060424.04772,344,141789000.0,70.5,398208.0,281,705.0,
2017-10-04,1170876.81267,302,136636000.0,67.94,370106.0,284,523.604508757,
2017-10-05,686966.752419,293,134813000.0,67.03,345917.0,259,536.24,
2017-10-06,734213.90762,259,129742000.0,64.35,438750.0,222,507.91455,
2017-10-07,860863.278275,380,136143000.0,67.53,280054.0,308,540.24,
2017-10-08,1054645.35241,438,124573000.0,61.79,358034.0,373,616.318566149,
2017-10-09,597977.00828,393,113957000.0,56.53,260843.0,352,466.3725,
2017-10-10,372664.700928,250,116846000.0,57.96,186440.0,244,354.62826,
2017-10-11,747905.191627,311,128482000.0,63.73,283817.0,266,491.67695,
2017-10-12,1301456.3809,425,170508000.0,84.58,411596.0,364,671.893292899,
2017-10-13,644847.012549,254,162171000.0,80.44,380602.0,215,733.0095,
2017-10-14,735833.869314,341,158494000.0,78.62,296547.0,300,483.092189952,
2017-10-15,540505.699735,239,169825000.0,84.24,224884.0,209,485.200730442,
2017-10-16,264086.824761,230,157279000.0,78.01,213794.0,221,390.05,
2017-10-17,802976.308297,219,160763000.0,79.74,356309.0,198,663.19758,
2017-10-18,1819911.38601,355,148424000.0,73.62,525937.0,298,734.637065618,
2017-10-19,1063841.47252,348,143441000.0,71.15,359012.0,296,483.436301604,
2017-10-20,3046658.56303,331,127818000.0,63.4,370308.0,263,375.328,
2017-10-21,644942.768099,358,125183000.0,61.79,338233.0,314,308.95,
2017-10-22,1144778.37854,351,125506000.0,61.95,315451.0,312,323.19315,
2017-10-23,878766.344671,405,134532000.0,66.4,470442.0,339,449.249030025,
2017-10-24,1333162.6923,511,120953000.0,59.7,641551.0,423,358.2,
2017-10-25,615581.971391,482,115574000.0,57.04,457214.0,405,450.636434158,
2017-10-26,1223636.40157,484,114368000.0,56.45,557912.0,369,556.593043755,
2017-10-27,1336028.59311,519,111288000.0,54.93,806237.0,405,361.599561822,
2017-10-28,2126963.16242,319,108970000.0,53.78,300509.0,271,376.46,
2017-10-29,853729.188375,394,104205000.0,51.43,386309.0,328,451.894876814,
2017-10-30,1988735.72961,401,105265000.0,51.96,614046.0,331,519.6,
2017-10-31,686262.967446,410,97524000.0,48.14,589662.0,364,395.154932728,
2017-11-01,1071974.42566,378,102753000.0,50.72,272363.0,344,332.67696363,
2017-11-02,523399.746388,382,97472600.0,48.11,319368.0,344,384.88,
2017-11-03,375087.57637,349,103716000.0,51.19,292073.0,315,379.3179,
2017-11-04,605693.509271,299,110119000.0,54.35,337798.0,263,380.45,
2017-11-05,449962.383634,261,109898000.0,54.24,297911.0,223,380.71056,
2017-11-06,922406.998273,361,129021000.0,63.68,407034.0,273,781.9904,
2017-11-07,653295.369755,346,109642000.0,54.12,346582.0,274,571.58838,
2017-11-08,739216.895839,384,115831000.0,57.17,428412.0,317,497.43617,
2017-11-09,1398700.94408,439,142477000.0,70.32,469943.0,373,478.03536,
2017-11-10,1139712.44484,310,152162000.0,75.1,268427.0,269,375.5,
2017-11-11,599649.465038,248,140372000.0,69.28,392282.0,222,402.156549953,
2017-11-12,531823.241902,292,145102000.0,71.62,302348.0,232,372.35238,
2017-11-13,647280.392064,300,133792000.0,66.04,362643.0,278,528.32,
2017-11-14,799462.254216,436,146071000.0,72.1,443397.0,359,576.8,
2017-11-15,1385877.14779,499,159966000.0,78.95,525776.0,424,619.989310087,
2017-11-16,1880020.96433,674,168550000.0,83.19,775330.0,511,484.985256146,
2017-11-17,1979757.95719,547,201205000.0,99.31,664781.0,428,496.55,
2017-11-18,1463902.58998,480,211951000.0,104.61,527856.0,404,523.05,
2017-11-19,1892991.8118,511,227130000.0,112.11,515638.0,422,695.082,
2017-11-20,1524195.47273,455,222071000.0,109.61,634032.0,376,657.66,
2017-11-21,1032595.00106,408,208353000.0,102.84,568294.0,348,532.7112,
2017-11-22,797849.789573,373,182179000.0,89.92,432472.0,319,404.64,
2017-11-23,1482290.1864,334,187695000.0,92.64,508324.0,282,463.2,
2017-11-24,762963.315232,294,183252000.0,90.45,499804.0,251,544.991976642,
2017-11-25,877779.315575,374,183558000.0,90.6,512575.0,325,543.6,
2017-11-26,1527614.07886,324,182013000.0,89.84,527502.0,290,460.69134456,
2017-11-27,3044668.0848,422,185442000.0,91.53,863021.0,355,731.78235,
2017-11-28,4517834.0908,520,208420000.0,102.87,763592.0,434,617.22,
2017-11-29,1757004.92454,444,207605000.0,102.47,645841.0,380,512.401076662,
2017-11-30,1277514.5984,487,186543000.0,92.07,680884.0,357,276.21,
2017-12-01,1123159.546,477,191855000.0,94.69,754948.0,377,483.20307,
2017-12-02,916370.13138,425,190586000.0,94.07,626140.0,368,470.35,
2017-12-03,613842.376086,405,202254000.0,99.83,550355.0,363,698.792871805,
2017-12-04,1242882.28975,415,205091000.0,101.23,817448.0,358,1012.3,
2017-12-05,1216558.04094,424,222115000.0,109.63,966945.0,339,666.33114,
2017-12-06,1590182.05067,398,308735000.0,152.38,1177340.0,285,1523.8,
2017-12-07,943194.319624,330,270087000.0,133.31,920785.0,266,1063.28056,
2017-12-08,2585441.55851,534,322812000.0,159.33,1120830.0,445,810.01746834,
2017-12-09,2667501.6224,635,352937000.0,174.2,1349820.0,518,1371.25534101,
2017-12-10,1803365.91266,690,317267000.0,156.59,1065200.0,622,782.95,
2017-12-11,2036041.46989,589,319637000.0,157.76,1022160.0,510,741.472,
2017-12-12,5622566.58902,566,367469000.0,181.37,1439410.0,535,1088.22,
2017-12-13,2439106.89593,586,455760000.0,224.95,1126430.0,537,899.8,
2017-12-14,2170160.39901,451,445713000.0,219.99,918112.0,428,879.96,
2017-12-15,3821533.44294,595,420530000.0,207.56,1152550.0,514,970.73917983,
2017-12-16,10498009.4967,731,473471000.0,233.69,1696420.0,620,1168.45,
2017-12-17,3417464.09497,655,549192000.0,269.65,1731570.0,601,1078.6,
2017-12-18,5837928.25892,529,561872000.0,275.88,1017940.0,508,1131.108,
2017-12-19,4817648.04904,600,567629000.0,278.71,1569900.0,564,1114.84,
2017-12-20,3570407.54065,480,511098000.0,250.95,1359590.0,481,1446.51594458,
2017-12-21,10766299.3081,765,547107000.0,268.63,2464550.0,794,1613.02449185,
2017-12-22,9499280.45563,800,766389000.0,376.3,1883090.0,698,1892.97772885,
2017-12-23,7595438.76654,787,698289000.0,342.86,1771260.0,670,1693.7284,
2017-12-24,3890449.43215,469,674599000.0,331.23,1014880.0,450,1059.936,
2017-12-25,2978444.90339,476,672171000.0,330.04,1348280.0,389,1182.69834,
2017-12-26,4467255.69146,420,732552000.0,359.69,1160140.0,373,1375.0929825,
2017-12-27,7959433.86011,595,715658000.0,351.39,1836280.0,521,1039.65254359,
2017-12-28,3988758.19113,516,660837000.0,324.47,1343160.0,454,1038.304,
2017-12-29,4706497.34362,606,630956000.0,309.8,1810640.0,497,1231.0844571,
2017-12-30,3056059.22418,486,723459000.0,355.22,1431870.0,432,1065.66,
2017-12-31,2336689.69896,418,684044000.0,335.87,1244940.0,399,1007.61,
2018-01-01,3880873.4946,408,688682000.0,338.14,890956.0,360,1252.63963,
2018-01-02,28024145.6977,561,700169000.0,343.79,2011340.0,442,1031.37,
2018-01-03,1828630.04017,308,770974000.0,378.55,1000590.0,279,1138.44097201,
2018-01-04,3169226.40505,214,766957000.0,376.58,734384.0,242,2238.51343607,
2018-01-05,3443777.84239,227,746285000.0,366.43,426543.0,262,1758.864,
2018-01-06,2139398.49887,313,760299000.0,373.31,465537.0,312,966.8729,
2018-01-07,3877557.22757,436,768932000.0,377.55,822460.0,418,844.749488488,
2018-01-08,23427008.8311,391,817064000.0,401.18,1136510.0,374,1307.40009054,
2018-01-09,2488611.36043,295,855222000.0,419.92,502374.0,307,1642.59515711,
2018-01-10,2069672.71555,291,955178000.0,469.0,846642.0,277,1296.67364503,
2018-01-11,2308700.89721,329,933584000.0,458.39,656849.0,285,924.604798322,
2018-01-12,2167888.39127,256,811273000.0,398.34,373583.0,273,1313.72532,
2018-01-13,2979640.81419,233,853113000.0,418.88,489287.0,259,1675.52,
2018-01-14,2123603.25257,280,892416000.0,438.18,327155.0,329,1532.53455,
2018-01-15,3181042.48589,253,832396000.0,408.71,509700.0,215,1021.775,
2018-01-16,1981558.39049,334,805803000.0,395.65,656337.0,288,1183.982625,
2018-01-17,1893100.69616,349,666782000.0,327.39,677491.0,316,962.589848739,
2018-01-18,2439709.92172,502,637408000.0,312.97,822200.0,440,988.9852,
2018-01-19,2528513.7512,510,701647000.0,344.51,889892.0,421,876.756755546,
2018-01-20,7732481.76539,474,846343000.0,415.56,1641620.0,420,1788.90803482,
2018-01-21,3004920.66199,380,875732000.0,429.99,818717.0,375,1200.317085,
2018-01-22,1581793.80264,332,779427000.0,382.7,613026.0,283,1342.04322757,
2018-01-23,1882867.20298,366,735650000.0,361.21,612023.0,335,1042.21691382,
2018-01-24,1657343.60774,369,707455000.0,347.36,789267.0,315,882.2944,
2018-01-25,11444767.0598,297,765093000.0,375.66,1176550.0,254,1126.98,
2018-01-26,14917394.6763,289,788757000.0,387.28,985983.0,259,1157.94129171,
2018-01-27,1347800.5236,255,758416000.0,372.38,505141.0,240,1079.902,
2018-01-28,5220625.81632,378,780614000.0,383.28,1059580.0,384,1720.9272,
2018-01-29,60808380.8689,346,817401000.0,401.35,809086.0,321,1216.0905,
2018-01-30,2996267.16619,410,826365000.0,405.75,963779.0,370,1623.0,
2018-01-31,5420459.1091,270,738090000.0,362.4,617816.0,262,1087.2,
2018-02-01,2570173.20144,312,824815000.0,404.99,553054.0,297,1214.97,
2018-02-02,2234742.99921,351,717050000.0,352.07,861162.0,316,1393.83535654,
2018-02-03,2300114.30741,377,677584000.0,332.7,735091.0,344,831.75,
2018-02-04,1202171.16131,269,714802000.0,350.97,462325.0,249,935.33505,
2018-02-05,1428778.81766,264,627295000.0,308.0,555309.0,249,1077.99528681,
2018-02-06,2177805.40224,383,499996000.0,245.5,1020650.0,348,940.756,
2018-02-07,1606387.18067,303,558882000.0,274.41,552699.0,284,646.78437,
2018-02-08,2760224.80804,340,545495000.0,267.84,492661.0,248,537.704546565,
2018-02-09,3126256.62088,345,568265000.0,279.02,143917.0,281,1418.95186916,
2018-02-10,1489469.74152,297,585134000.0,287.3,134022.0,252,750.7149,
2018-02-11,1556564.66592,451,567436000.0,278.61,132946.0,228,1532.12150446,
2018-02-12,880456.576113,353,556682000.0,273.33,133613.0,202,1366.65,
2018-02-13,976834.744853,202,533522000.0,261.96,157123.0,182,614.42718,
2018-02-14,833540.298898,334,522951000.0,256.77,222206.0,181,370.697765857,
2018-02-15,1670512.03172,419,632144000.0,310.38,284007.0,193,401.588519639,
2018-02-16,1138396.84284,184,606132000.0,297.61,375869.0,173,1422.74957995,
2018-02-17,2328393.61735,258,587059000.0,288.25,215053.0,291,1035.41226928,
2018-02-18,1606211.38453,229,619052000.0,303.96,362683.0,228,1519.8,
2018-02-19,1194256.81251,241,556030000.0,273.01,281660.0,272,819.03,
2018-02-20,1129184.93265,256,535859000.0,263.11,441466.0,244,786.6989,
2018-02-21,2376438.9093,232,551814000.0,270.94,425252.0,223,1048.76422851,
2018-02-22,1267035.53294,201,506522000.0,248.7,408549.0,180,994.8,
2018-02-23,1910765.80338,182,469752000.0,230.65,422672.0,201,807.275,
2018-02-24,733322.509853,191,458354000.0,225.05,244051.0,193,1001.4725,
2018-02-25,780832.906583,334,454322000.0,223.07,167015.0,150,1501.4957819,
2018-02-26,999755.123952,501,473535000.0,232.51,372012.0,163,227.8598,
2018-02-27,1928937.03398,207,494864000.0,242.98,161252.0,195,806.93658,
2018-02-28,858858.01385,325,509828000.0,250.33,242228.0,200,266.26375483,
2018-03-01,1209802.42799,258,437703000.0,214.91,320215.0,243,838.149,
2018-03-02,2254754.58641,251,452281000.0,222.07,590505.0,233,1110.35,
2018-03-03,1454116.12625,294,423046000.0,207.72,447399.0,262,893.196,
2018-03-04,3122830.45099,225,468371000.0,229.97,486390.0,210,574.925,
2018-03-05,2043216.88046,311,437227000.0,214.68,868874.0,283,923.124,
2018-03-06,2833005.24551,399,412837000.0,202.71,812972.0,319,901.543726703,
2018-03-07,4123093.85631,421,392624000.0,192.78,1106170.0,315,906.066,
2018-03-08,1164734.83366,362,352491000.0,173.07,521059.0,315,692.62614,
2018-03-09,1090392.68207,283,330077000.0,162.07,714730.0,261,511.00671,
2018-03-10,1425748.21699,335,358557000.0,176.05,432756.0,284,792.225,
2018-03-11,1284949.49018,321,326165000.0,160.15,792959.0,252,882.90695,
2018-03-12,2065853.74107,321,357085000.0,175.33,609605.0,245,788.985,
2018-03-13,450726.065568,194,324345000.0,159.25,389270.0,174,796.25,
2018-03-14,1613053.1167,384,310452000.0,152.43,670116.0,298,1012.59249,
2018-03-15,2845854.32861,379,272167000.0,133.63,841965.0,291,650.64447,
2018-03-16,1362340.59055,458,259699000.0,127.51,474925.0,275,234.192457633,
2018-03-17,373767.040185,240,235579000.0,115.67,246461.0,215,453.465899706,
2018-03-18,1025942.99289,349,214048000.0,105.1,357301.0,308,548.082422906,
2018-03-19,696623.86613,343,212923000.0,104.55,424318.0,277,418.2,
2018-03-20,507086.799796,256,221522000.0,108.77,379951.0,221,650.55337,
2018-03-21,509431.763633,230,221153000.0,108.59,358308.0,216,579.76201,
2018-03-22,1147601.97489,267,219142000.0,107.6,497690.0,248,538.0,
2018-03-23,2803315.95293,842,247105000.0,121.33,1470850.0,617,536.536186906,
2018-03-24,1934335.50411,558,453858000.0,222.85,1048130.0,418,891.4,
2018-03-25,7049767.88858,359,425685000.0,209.01,707846.0,263,1667.44187941,
2018-03-26,2063983.44306,328,400446000.0,196.62,421034.0,273,660.6432,
2018-03-27,1141789.82371,239,370245000.0,181.79,355698.0,211,908.95,
2018-03-28,933568.201763,281,311059000.0,152.73,565274.0,201,835.89129,
2018-03-29,2327789.71262,225,292005000.0,143.38,432812.0,181,847.3758,
2018-03-30,1040829.33645,220,251690000.0,123.58,319290.0,194,670.4215,
2018-03-31,457474.292728,219,252713000.0,124.08,352490.0,199,645.96048,
2018-04-01,520911.927759,220,292018000.0,143.38,327949.0,175,704.42594,
2018-04-02,728971.787694,285,258951000.0,127.15,406805.0,210,635.75,
2018-04-03,1347556.40412,275,248976000.0,122.25,407444.0,219,586.8,
2018-04-04,899443.536556,285,255040000.0,125.23,513163.0,217,964.62069806,
2018-04-05,1435664.16003,413,209201000.0,102.72,756217.0,282,1027.2,
2018-04-06,2487746.84413,363,191459000.0,94.01,529511.0,299,545.994792816,
2018-04-07,523126.307965,205,184027000.0,90.36,387866.0,190,722.88,
2018-04-08,340798.46253,154,191220000.0,93.89,354431.0,144,478.744234478,
2018-04-09,936406.226913,184,208248000.0,102.25,363304.0,153,525.527961273,
2018-04-10,466878.767881,165,186850000.0,91.74,327102.0,146,473.65362,
2018-04-11,1672922.7583,249,186631000.0,91.64,449175.0,181,755.93836,
2018-04-12,761653.933925,216,200716000.0,98.55,560415.0,218,528.6222,
2018-04-13,1144544.72175,301,207563000.0,101.91,564519.0,236,593.42193,
2018-04-14,418561.736158,150,211323000.0,103.76,345016.0,148,527.664678013,
2018-04-15,524282.586327,229,218202000.0,107.14,420162.0,178,673.7233669,
2018-04-16,1346455.82468,348,232300000.0,114.06,922175.0,194,1140.6,
2018-04-17,828693.036595,292,205733000.0,101.02,668802.0,232,778.933481566,
2018-04-18,1828332.19438,218,209497000.0,102.86,696569.0,156,596.50704918,
2018-04-19,1619325.42082,224,222258000.0,109.13,571418.0,202,787.189636937,
2018-04-20,756313.203116,200,233975000.0,114.88,802293.0,179,621.50939245,
2018-04-21,1335860.45968,246,250521000.0,123.01,751746.0,200,698.45078,
2018-04-22,967965.466898,181,241819000.0,118.73,464758.0,155,1068.57,
2018-04-23,1886436.05764,242,267668000.0,131.43,744784.0,203,1016.08533,
2018-04-24,1151860.6194,322,249298000.0,122.41,782741.0,272,680.84442,
2018-04-25,880840.318159,276,258223000.0,126.79,760211.0,234,1273.69406434,
2018-04-26,555167.328527,208,223479000.0,109.73,389750.0,180,791.04910826,
2018-04-27,1430023.42518,220,244148000.0,119.88,594769.0,190,1100.1981006,
2018-04-28,1514065.27469,349,204767000.0,100.54,1282190.0,262,985.24655598,
2018-04-29,1742769.06513,400,208201000.0,102.23,943819.0,280,1222.56857,
2018-04-30,1186079.79816,276,222678000.0,109.34,684857.0,234,1180.872,
2018-05-01,1720536.35095,262,208598000.0,102.42,718758.0,216,1019.74473,
2018-05-02,2295683.16192,235,211896000.0,104.04,1197220.0,183,1473.6586567,
2018-05-03,1497616.48044,245,239777000.0,117.73,1265380.0,212,1177.3,
