time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-03-08,54.0,1614811426.0,19360402.142862,0.0,0.0,208.634709787209,145.57385352047442,0.000005042777907656345,0.019360402142862,,23.435254153677537,1000000000.0,999984153.637,809880187.7918417021,59.0,64.0,4793066.316817179,92795.691390986986099093826298,78881.422764483425373139,1527.176066321508256540602157535383818,15179.0,293.871544126502298,5048411.056926939223880892,97739.268244576528418598460640655992904,,0.04471584735830748,0.05277167506881892
2019-03-09,53.0,1614811426.0,20089918.1520242,0.0,0.0,120.736022886633,157.91437350685285,0.000005137611922852132,0.0200899181520242,,27.690192300837154,1000000000.0,999984153.637,809880187.7918417021,74.0,77.0,8282532.222706763,166395.3944456819418466514796646,112815.800752842384210824,2266.4602033796736225302100581751499408,49308.94,990.612568763072156348,8686816.657968863584233456,174517.4356602348689348263351988317616352,,0.045040308931753495,0.05285350164320361
2019-03-10,52.0,1614811426.0,20598257.8568263,0.0,0.0,221.398760448143,164.4502493043324,0.0000052763120981882,0.0205982578568263,,19.717360639736697,1000000000.0,999984153.637,809880187.7918417021,70.0,92.0,4516737.121634531,93036.9159029274856152321489653,75182.452529784376428447,1548.6275435171013662786804698724577561,100000.0,2059.82578568263,6916785.632740162631417108,142473.7340035733256976382736561404043404,,0.042492740745884106,0.05291262936792638
2019-03-11,48.0,1614811426.0,19854308.7914544,0.0,0.0,114.615982142036,162.20985603163,0.000005154862653419059,0.0198543087914544,,15.339597052333662,1000000000.0,999984153.637,809880187.7918417021,45.0,50.0,8724786.729661904,173224.6098702910241349564331776,177847.789923051121724334,3531.0449390099691353348900445317313696,18490.0,367.106169553991856,8892389.496152556086216704,176552.2469504984567667445816438217342976,,0.043198416561761536,0.046079881350379936
2019-03-12,64.0,1614811426.0,20400101.3427538,0.0,0.0,142.361086782089,166.72810381812104,0.000005286486557568664,0.0204001013427538,,19.8831645168861,1000000000.0,999984153.637,809880187.7918417021,77.0,100.0,7024391.444346682,143298.2973358450520521957728916,78137.915467086550764246,1594.0213942400952617549357921842206348,22457.445333401192,458.1341607007377166359174825296,7813791.546708655076424615,159402.139424009526175493885219942204787,,0.043272355280102814,0.04612412387545035
2019-03-13,44.0,1614811427.0,20009607.6613973,0.0,0.0,354.976560125418,166.27856218255604,0.000005194659555815308,0.0200096076613973,,20.232619941105774,1000000000.0,999984153.637,809880187.7918417021,43.0,47.0,2817087.4145793915,56368.81391359370408093067374295,60890.142299473240783332,1218.3878578591115685782383468696698036,20000.0,400.192153227946,2861836.68807524231681661,57264.229319378243723177322360520449153,,0.043209971376632496,0.04619981001451864
2019-03-14,53.0,1614811427.0,19907495.6450461,0.0,0.0,145.627474094598,171.44743232152084,0.000005165701928696675,0.0199074956450461,,23.51017766808526,1000000000.0,999984153.637,809880187.7918417021,85.0,135.0,6866836.125650375,136701.5102666300742505093572875,90318.020738711996029167,1798.0056045250924046159539684946595987,100000.0,1990.74956450461,12192932.799726119463937534,242730.7566108874746231535667643269503174,,0.04266667247494361,0.04514329159261755
2019-03-15,33.0,1614811427.0,20469758.9171495,0.0,0.0,261.884741288581,177.39528652153,0.0000052460812390415045,0.0204697589171495,,27.51455735637919,1000000000.0,999984153.637,809880187.7918417021,43.0,70.0,3818473.7112960024,78163.2363017022905736921531588,87964.233874825791506721,1800.6066607494393604805715110114117895,100000.0,2046.97589171495,6157496.371237805405470485,126042.4662524607552336403128171825825075,,0.042778147470638676,0.04465926569494838
2019-03-16,65.0,1614811427.0,20304515.2866991,0.0,0.0,313.987866478458,179.5402562032147,0.000005089111046171838,0.0203045152866991,,24.39218932258563,1000000000.0,999984153.637,809880187.7918417021,70.0,96.0,3184836.4435719564,64666.56025414318432242668511924,66237.783278903395009222,1344.9260831435560195723255734184391002,100000.0,2030.45152866991,6358827.194774725920885281,129112.9039817813778789426256081962659471,,0.042846010107237806,0.04445926579721843
2019-03-17,24.0,1614811427.0,20087452.5510856,0.0,0.0,1322.499231400979,184.21113357186567,0.000005063454997077739,0.0200874525510856,,25.252240995028775,1000000000.0,999984153.637,809880187.7918417021,20.0,27.0,756144.1067460264,15189.00886604381025333080625984,83220.609838073668461363,1671.6900513947122926622735453073056728,100000.0,2008.74525510856,2246956.465627989048456792,45135.6313876572319018812049362242933952,,0.04272615512594473,0.044318348642267955
2019-03-18,34.0,1614811427.0,20730919.67112,0.0,0.0,159.856488471329,189.2461022152321,0.000005222630625365276,0.02073091967112,,28.042957139075703,1000000000.0,999984153.637,809880187.7918417021,42.0,53.0,6255610.9518154,129684.568135863582334951248,159266.612826705660377358,3301.74335680180528238322092445450096,100000.0,2073.091967112,8441130.4798154,174992.397910495679966311248,,0.04295036875201656,0.04407572024808064
2019-03-19,51.0,1614811427.0,20568806.3750527,0.0,0.0,382.827854388554,188.0843408148101,0.000005147132670952663,0.0205688063750527,,21.159682082006224,1000000000.0,999984153.637,809880187.7918417021,46.0,59.0,2612140.126525494,53728.6044870085473718921435338,70873.085203172090254099,1457.7747667466592718307940502375160173,100000.0,2056.88063750527,4181512.026987153324991856,86008.7112380528970380171574961090708112,,0.04239406455788038,0.043842726843602714
2019-03-20,39.0,1614811427.0,20877502.2106611,0.0,0.0,1150.585553977689,191.3688899448896,0.0000051796794272355266,0.0208775022106611,,19.43464751183546,1000000000.0,999984153.637,809880187.7918417021,36.0,49.0,869122.6797893478,18145.11066863780803256737583058,37582.510029765635877964,784.6289362286250262049267621793620004,13149.72,274.533308369574479892,1841542.991458516158020225,38446.8178752026262840411816942644207475,,0.04220811202179441,0.04306335221270116
2019-03-21,24.0,1614811427.0,19553162.1987174,0.0,0.0,959.940914334998,180.1180387837506,0.00000491745863989883,0.0195531621987174,,11.64546691299606,1000000000.0,999984153.637,809880187.7918417021,22.0,28.0,1041730.7826625481,20369.13096079762696275883580694,46428.327853717073462053,907.8206251389588370076603355741708222,13367.0,261.3671191102554858,1299993.179904078056937497,25418.9775038908474362147435871853663478,,0.044179228477116694,0.0425144935159423
2019-03-22,34.0,1614811427.0,19616141.9807084,0.0,0.0,433.7355106593,181.97845714059363,0.000004923869276605846,0.0196161419807084,,9.218959009048776,1000000000.0,999984153.637,809880187.7918417021,37.0,53.0,2305552.5208898624,45226.04559375571018686193052416,83953.821148865332916123,1646.8500754791419732844924009813215332,100000.0,1961.61419807084,4449552.520889862644554514,87283.0540003945245840779991713001377176,,0.043991939354809925,0.042512981253480304
2019-03-23,26.0,1614811428.0,19131865.6915097,0.0,0.0,763.283726904492,179.44927133762897,0.000004804857313129991,0.0191318656915097,,13.387768291611593,1000000000.0,999984153.637,809880187.7918417021,38.0,43.0,1310128.8089234047,25065.20841090015368074640707559,51909.830537971752204973,993.1319059215042793626807403802177381,28333.674,542.0760455150204076378,2232122.713132785344813853,42704.6719546246840125955396824690438741,,0.04258076250586481,0.04260774767970065
