time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2023-12-12,10,177,1746000938,1746000938,,0,,,,,14519009.753882351631223969,8,10,0
2023-12-13,3,178,1746000938,1746000938,,655946.139999999999999999,,,,,15176891.756113647852045255,2,2,0
2023-12-14,7,180,1746000938,1746000938,,0,,,,,15178915.065911497964780533,3,6,0
2023-12-15,4,180,1746000939,1746000939,,1862122.729999999999999999,,,,,17043061.10570934807751581,5,5,0
2023-12-16,4,180,1746000939,1746000939,,1110881.999999999999999999,,,,,18156214.598529298914107548,3,3,0
2023-12-17,9,180,1746000939,1746000939,,1462586.489999999999999999,,,,,19621220.61955690727362773,5,5,0
2023-12-18,10,182,1746000939,1746000939,,7930357.009999999999999999,,,,,27554192.041618401090589744,5,7,0
2023-12-19,5,182,1746000939,1746000939,,13463021.999999999999999998,,,,,41020884.986258032166227014,6,6,0
2023-12-20,10,183,1746000939,1746000939,,1309914.999999999999999999,,,,,42336438.813309982374172997,7,8,0
2023-12-21,4,183,1746000939,1746000939,,9301669.039999999999999999,,,,,51643746.680361932582118979,3,3,0
2023-12-22,3,183,1746000939,1746000939,,0,,,,,51650624.23980336388835857,1,2,4661.88344156675
2023-12-23,10,184,1746000940,1746000940,,7485507.999999999999999999,,,,,59143009.799244795194598161,7,8,580.103745909774
2023-12-24,4,184,1746000940,1746000940,,6475600.999999999999999999,,,,,65626484.961782121126809657,3,3,0
2023-12-25,4,184,1746000940,1746000940,,3098870.249999999999999999,,,,,68734091.405981286895017378,3,3,0
2023-12-26,9,186,1746000940,1746000940,,4100026.999999999999999999,,,,,72843267.066716334066181743,5,7,0
2023-12-27,7,186,1746000940,1746000940,,7474234.999999999999999999,,,,,80327196.377554447800305435,4,5,0
2023-12-28,12,186,1746000940,1746000940,,12488443.999999999999999999,,,,,92826329.260967197227086205,8,11,0
2023-12-29,19,189,1746000940,1746000940,,14981936.999999999999999997,,,,,107070683.777374349721683579,19,21,20273.3981154844
2023-12-30,7,189,1746000940,1746000940,,9590299.999999999999999999,,,,,116675227.540477889083421015,4,5,36774.3731683289
2023-12-31,14,190,1746000941,1746000941,,7110397.999999999999999999,,,,,123801144.944929182434830675,11,15,100134.582787991
2024-01-01,6,190,1746000941,1746000941,,10164010.999999999999999996,,,,,133981621.003986866688130651,14,14,0
2024-01-02,9,190,1746000941,1746000941,,2349554.999999999999999999,,,,,136348992.65625792797045832,6,7,9615.5805603402
2024-01-03,9,191,1746000941,1746000941,,2254853.999999999999999999,,,,,138122109.996151885527650096,6,6,0
2024-01-04,5,191,1746000941,1746000941,,1873049.809999999999999999,,,,,140013658.169437874786293607,3,3,0
2024-01-05,2,191,1746000941,1746000941,,0,,,,,140032407.352205909318221154,1,1,0
2024-01-06,4,191,1746000941,1746000941,,3939495.999999999999999998,,,,,143990652.5349739438501487,4,4,0
2024-01-07,2,192,1746000941,1746000941,,0,,,,,144009929.113104825641895793,1,1,0
2024-01-08,10,192,1746000942,1746000942,,1732579.999999999999999999,,,,,145761785.691235707433642885,8,9,0
2024-01-09,5,192,1746000942,1746000942,,0,,,,,145781294.154376144863610169,4,5,88108.9468672457
2024-01-10,15,193,1746000942,1746000942,,939267.059999999999999999,,,,,146740069.677516582293577453,10,14,0
2024-01-11,11,197,1746000942,1746000942,,0,,,,,146759703.816623750208597264,7,9,39416.2726173088
2024-01-12,11,199,1746000942,1746000942,,784041.999999999999999999,,,,,147563379.955730918123617075,8,9,130703.724409742
2024-01-13,9,202,1746000942,1746000942,,0,,,,,147583118.973289700972471712,9,11,0
2024-01-14,3,202,1746000942,1746000942,,0,,,,,147602857.990848483821326349,2,2,0
2024-01-15,0,202,1746000942,1746000942,,0,,,,,147622597.008407266670180986,0,0,0
2024-01-16,9,204,1746000943,1746000943,,1729364.979999999999999999,,,,,149371701.005966049519035623,5,6,201581.733335596
2024-01-17,0,204,1746000943,1746000943,,0,,,,,149391671.230688201556342958,0,0,0
2024-01-18,7,204,1746000943,1746000943,,809494.999999999999999999,,,,,150221244.666242512338974057,9,9,0
2024-01-19,10,206,1746000943,1746000943,,1230022.999999999999999998,,,,,151471455.702388068057792766,17,18,1698.64190824182
2024-01-20,0,206,1746000943,1746000943,,0,,,,,151491698.534378953703403594,0,0,0
2024-01-21,3,206,1746000943,1746000943,,0,,,,,151511941.366369839349014423,1,2,0
